OXTED-WEST-HEATH,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ400520,Long,0.00464,Lat,51.25052,Elevation,500,ft,,,,,,,,,,,,,
Station no,70,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.59,3.86,1.79,3.08,2.9,3.04,2.69,4.36,1.37,3.39,2.37,2.79,2.25,2.51,1.48,,,,,
February,,0.38,2.8,3.86,0.97,4.08,2.92,4.94,1.75,0.67,1.2,2.93,0.86,2.67,0.31,3.84,,,,,
March,,2.05,2.38,2.42,1.58,0.91,0.53,3.74,2.31,0.04,1.87,0.44,1.79,3.71,2.39,0.42,,,,,
April,,1.93,3.44,2.9,3.88,2.91,4.29,2.18,2.09,1.01,2.07,4.88,2.66,1.13,2.6,3.59,,,,,
May,,1.27,1.9,3.07,3.78,2.76,1.73,1.54,2.13,2.02,3.06,3.29,4.86,2.42,0.67,1.94,,,,,
June,,0.23,1.7,0.58,2.62,0.29,3.65,4.15,2.87,1.27,0.58,1.62,1.83,1.5,1.63,3.3,,,,,
July,,0.25,3.58,3.8,4.98,4.18,1.5,2.82,1.99,1.87,3.32,3.09,2.62,2.28,1.95,1,,,,,
August,,1.75,3.22,2.27,4.21,2.36,3.77,5.29,3.16,2.52,3.41,5.17,1.1,0.74,2.17,3.59,,,,,
September,,1.07,2.68,1.8,4.2,3.01,1.17,5.96,0.77,0.28,4.47,2.07,2.55,3.33,1.98,4.26,,,,,
October,,1.54,1.4,7.03,3.95,3.87,2.82,2.04,5.5,4.12,1.97,0.88,6.73,2.14,2.54,4.24,,,,,
November,,1.7,1.96,1.95,3.64,3.09,6.25,3.34,3.15,7.49,5.07,3.57,1.49,1.14,4.03,6.22,,,,,
December,,1.86,4.25,3.04,4.18,3.77,0.68,4.65,4.09,7.3,2.42,0.8,0.75,0.6,6.95,3.95,,,,,
Total,,16.62,33.17,34.51,41.07,34.13,32.35,43.34,34.17,29.96,32.83,31.11,30.03,23.91,29.73,37.83,,,,,
,,,,,,,,,,,,,,,,,,,,,
1936 Stn terminated Observer died April 4,,,,,,,,,,,,,,,,,,,,,
