"SHORTWOOD HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,3.76,3.59,3.67,,,
February,,,,,,,3.58,1.38,1.19,,,
March,,,,,,,1.56,2.78,1.13,,,
April,,,,,,,1.97,1.78,1.77,,,
May,,,,,,,1.64,1.22,0.79,,,
June,,,,,,,3.49,1.63,0.35,,,
July,,,,,,,2.78,3.24,2.20,,,
August,,,,,,,2.16,2.21,2.75,,,
September,,,,,,,3.41,2.47,2.96,,,
October,,,,,,,1.25,2.20,,,,
November,,,,,,,1.28,0.87,,,,
December,,,,,,,2.05,1.60,,,,
Total,,,,,,,28.93,24.97,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,28.93,24.97,16.81,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,NaN,NaN,,
