"SHEFFIELD HANDSWORTH GRANGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,,,,2.42,,
February,,,,,,,,,,1.39,,
March,,,,,,,,,,1.93,,
April,,,,,,,,,,1.61,,
May,,,,,,,,,0.48,5.45,,
June,,,,,,,,,0.38,0.75,,
July,,,,,,,,,0.74,0.15,,
August,,,,,,,,,2.12,1.35,,
September,,,,,,,,,2.71,3.06,,
October,,,,,,,,,2.35,1.47,,
November,,,,,,,,,0.94,1.47,,
December,,,,,,,,,7.66,3.22,,
Total,,,,,,,,,,24.27,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.38,24.27,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
