"GANTON, 9 MILES FROM SCARBOROUGH, YORKSHIRE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3389,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,,,2.30,3.04,,
February,,,,,,,,,1.49,1.57,,
March,,,,,,,,,1.37,2.62,,
April,,,,,,,,,2.16,1.68,,
May,,,,,,,,,1.08,4.08,,
June,,,,,,,,,0.49,1.30,,
July,,,,,,,,,0.57,0.79,,
August,,,,,,,,,2.65,1.16,,
September,,,,,,,,,3.47,2.76,,
October,,,,,,,,,2.88,3.44,,
November,,,,,,,,,2.14,2.46,,
December,,,,,,,,,6.64,5.76,,
Total,,,,,,,,,27.24,30.66,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.24,30.66,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,,
