"STOCKTON ON TEES",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,,,1.63,,,
February,,,,,,,,,1.08,,,
March,,,,,,,,,1.40,,,
April,,,,,,,,,1.70,,,
May,,,,,,,,,0.76,,,
June,,,,,,,,,0.41,,,
July,,,,,,,,,0.82,,,
August,,,,,,,,,1.56,,,
September,,,,,,,,,2.88,,,
October,,,,,,,,,1.41,,,
November,,,,,,,,,1.30,,,
December,,,,,,,,,2.90,,,
Total,,,,,,,,,17.85,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.85,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,,
