ECKINGTON (THE ORCHARD),,,,,,,,,,,,,,,,,,,,
Grid ref,SO924414,Long,-2.1122908,Lat,52.070914,Elevation,120,ft,,,,,,,,,,,,
Station no,2423/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,2.72,2.92,4.62,2.9,3.26,3.04,4.45,,,,,,,
February,,,,,,,3.64,0.55,0.97,2.06,2.41,0.45,1.59,,,,,,,
March,,,,,,,2.61,0.15,1.31,1.4,1.9,2.07,1.42,,,,,,,
April,,,,,,,2.05,0.17,2.39,2.27,0.89,1.25,0.88,,,,,,,
May,,,,,,,1.89,1.88,0.86,2.42,1.53,2.66,2.66,,,,,,,
June,,,,,,,1.1,0.81,1.9,0.52,2.38,0.04,1.35,,,,,,,
July,,,,,,,4.41,2.1,4.55,3.48,2.76,1.45,0.85,,,,,,,
August,,,,,,,0.36,3.15,2.06,0.16,3.63,3.38,,,,,,,,
September,,,,,,,2.9,2.04,0.51,0.62,0.63,1.56,,,,,,,,
October,,,,,,,2.75,2.11,3.05,3.36,1.93,2.18,,,,,,,,
November,,,,,,1.86,1.59,2.26,3.97,5.06,2.19,1.37,,,,,,,,
December,,,,,,2.6,1.49,2.71,1.48,1.23,1.34,2.75,,,,,,,,
Total,,,,,,,27.51,20.85,27.67,25.48,24.85,22.2,,,,,,,,
