NEW KILPATRICK CHESTERS,,,,,,,,,,
Grid ref,NS 53475 71996,Long,-4.346201,Lat,55.918667,Elevation,240,ft,,
Station no,RR2965,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,0.5,4.1,6,7.4,,,,,
February,,5.3,4.2,2.6,4.15,,,,,
March,,3.8,4.2,1.3,2.65,,,,,
April,,1.6,2.3,2.2,0.8,,,,,
May,,2.75,2.15,2.1,2.9,,,,,
June,,3.6,4.1,3.8,1.35,,,,,
July,,4.8,5.95,3.6,7.45,,,,,
August,,4.4,2.25,5.9,3.3,,,,,
September,,2.7,4.1,3.2,3.75,,,,,
October,,2.9,4.6,4,4.4,,,,,
November,,5.5,7.4,6,3.5,,,,,
December,,4.4,4.85,6.2,7.25,,,,,
Total,,42.25,50.2,46.9,48.9,,,,,
