NEW KILPATRICK CHESTERS,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 53475 71996,Long,-4.346201,Lat,55.918667,Elevation,240,ft,,,,,,,,,,,,
Station no,RR2965,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,3.02,4.5,2.75,3.9,2.8,6.45,3.57,3.2,2.13,5.48,1.71,2.76,1.49,,
February,,,,,,3.21,2.01,3.45,0.95,3.27,0.85,0.86,2.8,4.71,10.44,0.36,2.4,2.94,,
March,,,,,2.6,1.83,3.74,4.1,3.34,4.2,2.7,3.27,0.95,2.08,2.64,2.5,4.71,4.34,,
April,,,,,0.8,1.68,1.57,2.32,2.38,2.53,2.25,1.74,0.9,1.7,1.77,2,2.41,1.75,,
May,,,,,2.74,3.07,3.1,2.9,4.35,3.8,2.81,2.73,4.53,2.72,3.23,0.59,0.7,2.25,,
June,,,,,1.3,0.68,1.55,1.75,2.2,1.01,4.35,2.24,4.69,1.73,2.92,1.94,3.95,7.02,,
July,,,,,7.3,1.7,2.9,2.6,4.45,2.18,4.21,1.7,2.21,3.2,3.73,3.97,3.97,2.34,,
August,,,,,3.15,2.55,2.33,3.15,2.71,4.45,4.65,5.34,6.98,3.26,4.68,6.95,1.91,5.88,,
September,,,,,3.69,6.6,6.34,3.05,1.6,2.27,6.37,5.31,5.28,2.63,0.13,1.42,4.79,4.05,,
October,,,,,4.2,3.97,3.74,2.63,1.9,3.31,3.43,4.12,4.85,5.03,3.89,3.37,3.53,2.24,,
November,,,,,3.45,2.44,5.76,2.4,4.15,3.03,7.35,4.39,4.98,4.15,2.98,5.28,1.55,2.95,,
December,,,,,7.13,2.35,3.22,3.2,3.82,3.61,1.53,6.88,2.51,5.1,3.87,5.25,5.36,6.55,,
Total,,,,,,33.1,40.76,34.3,35.75,36.46,46.95,42.15,43.88,38.44,45.76,35.34,38.04,43.8,,
