HARROGATE HARLOW HILL OBSERVATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE288541,Long,-1.562326,Lat,53.982159,Elevation,480,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.48,1.13,2.57,2.28,3.44,4.28,1.75,1.6,2.31,2.82,0.99,5.04,1.4,1.56,1.25,4.17,1.31,4.64,4.51,1.59,4.11,1.54,2.93,2.82,4.13,4.33,3.96,3.98,1.64,2.32,2.63,3,2.24,6.56,1.41,5.02,1.8,2.24,1.96,2.12,1.61,4.26,3.57,3.99,4.74,2.48,3.83,3.93,3.7,3.59,3.7,3.61,2.77,6.97,0.99,1.88,2.49,2.96,0.5,,,,,,,
February,,,,,,0.38,0.81,2.99,2.34,1.9,5.53,1.41,1.34,3.01,4.17,1.7,2.33,2.09,1.85,0.78,3.04,2.59,2.35,0.99,1.57,3.72,4.06,0.83,3.32,1.92,2.19,0.14,3.28,5.46,0.97,4.34,2.36,1.18,2.87,0.73,0.87,2.39,0.27,6.09,0.3,3.3,2.44,5.03,1.64,2.7,1.9,4.3,1.87,1.28,1.3,3.71,3.45,3.19,1.84,1.35,5.44,2.84,0.45,2.05,,,,,,,
March,,,,,,2.06,3.34,3.84,1.05,1.58,0.73,2.3,1.16,3.85,2.01,2.75,2.01,2.28,3.86,4.46,0.59,1.57,3.77,3.49,2.7,0.93,4.35,3.1,1.22,4.16,2.56,1.96,2.08,1.56,1.59,0.83,1.2,1.78,2.72,0.5,2.39,0.78,1.79,1.64,2.61,0.85,2.49,2.32,0.19,2.05,1.93,3.2,2.28,0.81,0.32,1.04,1.36,6.48,1.37,1,1.1,3.53,2.14,0.64,,,,,,,
April,,,,,,2.21,1.49,2.13,3.04,2.24,1.89,2.55,1.56,1.41,1.69,2.46,0.84,1.5,2.75,2.87,2.72,1.36,0.31,3.17,1.13,1.28,1.53,1.97,0.77,1.63,4.46,1.26,3.15,2.26,1.89,4.02,1.24,1.6,0.8,1.14,2.75,3.24,2.4,1.24,3.63,2.12,1.65,3.12,0.11,1.39,2.3,2.09,1.48,1.26,2.64,2.05,1.78,3.4,2.5,2.45,2.78,1.19,1.3,,,,,,,,
May,,,,,1.66,0.41,0.55,1.15,2.45,4.06,1.52,0.78,2.67,4.05,3.02,0.71,2.37,4.91,2.87,1.78,2.46,0.97,3.33,2.15,1.29,1.67,3.07,1.95,2.97,1.46,2.72,1.85,1.1,3.39,4.73,4.27,2.1,1.8,2.1,1.33,1.39,3.2,4.67,2.94,1.52,1.16,2.11,3.01,3.1,1.02,0.86,1.6,2.72,2.06,0.85,2.22,2.98,4.04,0.98,1.88,2.15,5.88,1.53,,,,,,,,
June,,,,,3.52,2.77,4.74,4.83,1.92,1.79,3.71,1.48,1.97,2.21,1.76,1.38,1.4,3.33,1.04,3.4,2.95,2.8,6.9,1.4,2.15,0.78,1.78,1.68,0.71,1.44,1.71,0.17,1.57,0.92,2.56,0.03,3.25,2.72,5.03,1.1,1.61,5.42,0.57,1.14,2.52,3.04,4.46,1.37,2.84,1.74,0.32,0.23,0.94,2.14,2.77,3.08,2.27,3.79,3.61,0.8,0.55,1.09,1.87,,,,,,,,
July,,,,,3.21,6.59,1.75,0.68,0.95,2.31,3.28,1.44,2.41,3.37,3.11,1.3,1.75,2.15,2.69,3.77,3.25,0.47,5.02,1.02,4.9,3.74,1.95,1.27,4.11,2.36,6.14,1.43,5,2.76,3.73,1.39,2.12,4.52,0.7,2.91,4.51,3.14,3.87,2.3,1.27,0.5,3.97,2.03,3.82,5.81,5.21,2.93,2.02,1.39,3.32,2.02,3.73,3.52,1.1,2.54,3.03,2.16,1.46,,,,,,,,
August,,,,,2.68,3.1,2.23,4.07,3.59,1.29,5.35,1.37,2.98,3.07,3.77,4.15,3.24,1.89,1.9,3.41,4.14,2.97,5.64,1.1,1.36,2.21,1.83,7.75,3.1,2.34,1.62,3.86,5.95,3.82,3.31,2.25,2.8,8.69,3.67,2.17,3.64,3.45,1.47,0.32,1.46,1.88,1.93,0.76,3.69,2.06,0.56,2.76,2.38,2.65,3.13,3.21,4.42,0.88,4.29,2.35,4.16,5.61,3.09,,,,,,,,
September,,,,,0.85,1.22,4.23,3.38,1.11,3.32,0.61,1,1.21,4.31,1.21,1.96,0.71,1.03,2.55,1.84,0.24,2.82,1.91,1.27,1.46,0.79,1.95,0.72,7.15,1.12,0.97,0.92,3.37,2.46,3.13,2.51,1.29,3.72,0.37,0.41,4.08,5.56,2.56,1.96,2.23,5.75,2.29,1.19,2.51,0.99,1.96,0.39,1.75,3.03,4.99,1.67,5.85,1.96,1.8,0.85,3.49,2.28,3.52,,,,,,,,
October,,,,,4.05,4.89,3.66,1.87,4.69,3.08,3.58,1.88,3.75,8.5,0.76,1.7,5.14,7.52,1.82,2.41,3.74,3.09,3.27,2.82,2.17,1.34,5.46,4.3,1.77,3.31,3.47,1.72,0.96,3.72,3.57,3.46,3.33,2.83,5.09,3.02,2.35,0.89,3.61,3.68,2.48,5.15,1.7,2.22,5.44,2.92,3.21,3.96,2.28,1.55,2.77,4.24,1.91,1.1,1.01,3.15,1.73,0.87,3.32,,,,,,,,
