GRATELEY-FOX-FARM,,,,,,,,,,
Grid ref,SU291436,Long,-1.584972,Lat,51.190887,Elevation,300,ft,,
Station no,662/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.39,2.38,3.21,5.04,4.62
February,,,,,,0.22,3.88,3.03,0.11,3
March,,,,,1.17,1.27,2,1.62,4.38,1.9
April,,,,,0.48,1.69,0.33,0.79,3,1.18
May,,,,,4.22,0.31,2.1,2.32,0.57,1.3
June,,,,,3.03,1.71,2.09,3.4,0.74,3.86
July,,,,,1.27,2.39,3.43,1.5,1.59,3.41
August,,,,,0.49,4.98,3.14,3.77,1.91,4.32
September,,,,,1.45,3.14,2.74,4.06,0.13,4.82
October,,,,,3.16,2.25,2.58,3.52,2.65,10.5
November,,,,,2.64,0.79,1.97,2.72,4.45,4.79
December,,,,,3.69,5.22,2.78,3.67,7.09,3.51
Total,,,,,,28.36,29.42,33.61,31.66,47.21
,,,,,,,,,,
Equipment transferred from Stn 745 Forestry Commision at Alice Holt,,,,,,,,,,
1960 July 1 Inspection Site o/s S-E and NE Alternative site about 25-30yds NNW in garden satisfactory,,,,,,,,,,
1960 Aug 28 Gauge moved 90ft W,,,,,,,,,,
