CHIPPENHAM-HARDENHUISH-RES,,,,,,,,,,
Grid ref,ST913752,Long,-2.126658,Lat,51.475692,Elevation,345,ft,,
Station no,1493/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.95,4.41,3.94
February,,,,,,,,3.75,0.3,2.12
March,,,,,,,,1.52,3.85,1.53
April,,,,,,,,0.99,3.23,1.24
May,,,,,,,1.88,2.78,2.11,1.7
June,,,,,,,1.23,4,0.91,2.43
July,,,,,,,4.28,2.71,2.41,3.44
August,,,,,,,3.21,2.58,1.63,4.19
September,,,,,,,3.68,4.4,0.11,
October,,,,,,,2.59,2.19,2.09,
November,,,,,,,1.81,2.75,2.95,
December,,,,,,,2.43,3.51,6.46,
Total,,,,,,,,34.13,30.46,
,,,,,,,,,,
,,,,,,,,,,
