CORBY-STANION-LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP8989389557,Long,-0.677312,Lat,52.496518,Elevation,365,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1136/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,
January,,,1.33,1.7,1.11,3.6,2.97,2.61,5.66,2.95,3.85,3.22,3.6,1.8,2.13,1.51,2.28,4.2,,,,,,,,,,,,
February,,,2.17,0.38,2.05,2.19,3.53,0.97,0.71,2.77,2.07,1.22,0.82,1.37,1.71,2.06,2.39,1.02,,,,,,,,,,,,
March,,1.4,2.44,1.33,0.6,1.49,3.56,0.24,1.75,2.3,3.51,1.64,0.87,0.35,0.69,1.13,5.88,0.56,,,,,,,,,,,,
April,,3.42,1.08,1.81,3.27,2.51,2.63,0.1,2.44,2.1,1.22,0.67,1.19,1.9,0.94,1.92,2.04,1.35,,,,,,,,,,,,
May,,4.93,1.69,0.73,1.04,1.3,4.33,2.04,0.91,0.93,2.4,2.74,2.19,1.49,1.52,2.03,1.07,2.73,,,,,,,,,,,,
June,,0.34,2.12,0.62,3.17,3.56,1.19,1.61,1.42,0.95,0.87,1.43,1.81,2.36,1.83,2.75,1.64,2.47,,,,,,,,,,,,
July,,5.8,1.57,1.27,0.63,5.94,2.28,2.04,2.84,2.98,3.06,1.92,1.29,1.4,2.2,1.91,2.25,1.62,,,,,,,,,,,,
August,,1.59,0.72,1.58,1.37,0.68,1.06,3.66,5.21,0.11,3.52,2.11,2.22,2.32,1.28,3.64,0.03,3.5,,,,,,,,,,,,
September,,2.37,2.13,2.36,2.6,1.61,1.32,2.2,1.33,0.92,0.59,0.92,1.58,3.04,1.86,2.72,1.16,2.76,,,,,,,,,,,,
October,,3.69,2.09,1.09,2.14,1.26,2.49,2.25,3.98,3.28,1.87,2.78,1.82,2.64,2.59,1.76,0.18,3.16,,,,,,,,,,,,
November,,1.43,1.94,2.51,4.14,2.31,1.93,2.44,3.14,5.56,2.8,2.25,1.32,3.27,0.51,5.29,1,1.43,,,,,,,,,,,,
December,,1.12,0.38,4.34,2.82,1.38,2.87,4.02,1.61,1.82,0.81,1.62,0.74,1.29,2.48,2.58,2.05,2.5,,,,,,,,,,,,
Total,,,19.66,19.72,24.94,,30.16,24.18,31,26.67,26.57,22.52,19.45,23.23,19.74,29.3,21.97,27.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved 1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
