KENLEY-REFUSE-DISPOSAL-WKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ335593,Long,-0.0857,Lat,51.317154,Elevation,286,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,89/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.92,3.42,5.56,2.34,2.33,3.41,5.98,2.02,2.66,3.06,2.59,7.25,1.61,1.14,4.31,2.93,1.47,1.48,3.02,4.44,1.85,2.69,2.96,2.58
February,,,,,,,5.06,0.78,1.56,2.35,3.04,0.69,2.02,0.53,2.22,2.84,1.89,2.1,1.68,5.52,8.07,1.06,1.75,2.58,1.83,0.42,3.69,2.32,0.05,2.51
March,,,,,,,4.12,0.41,1.63,3.39,3.69,1.84,0.42,0.07,1.23,1.56,5.71,0.92,1.01,1.56,4.31,4.2,0.43,2.71,1.26,0.89,1.34,1.55,2.31,2.03
April,,,,,,,2.89,0.2,2.77,2.34,2.39,1.22,1.19,1.73,1.41,2.7,2.91,0.59,1.97,3.99,3.16,1.79,2.81,0.3,0.26,1.37,0.16,1.59,2.76,0.69
May,,,,,,0.32,2.43,2.63,1.88,1.4,1.78,3.33,2.63,0.62,3.01,3.38,1.8,2.12,1.87,1.3,2.6,1.4,2.08,3.31,4.34,0.42,1.41,2.33,0.78,1.63
June,,,,,,2.96,1.81,0.59,0.91,0.35,2.52,0.39,1.4,1.77,2.27,3.41,2.82,4.31,1.22,1.56,1.21,1.53,1.75,3.84,2.3,3.16,0.97,4.55,1.05,1.81
July,,,,,,3.74,1.12,2.12,2.55,2.15,2.85,2.25,1.54,1.93,3.69,2.32,1.59,2.14,1.76,2.99,2.98,0.81,3.86,2.88,0.46,5.83,4.07,2.36,0.75,3.06
August,,,,,,1.49,2.82,2.88,3.55,0.07,4.23,2.81,1.17,2.76,1.96,4.79,0.28,5.41,1.55,2.01,4.34,3.65,1.72,3.09,1.37,3.3,2.89,2.73,2.9,2.86
September,,,,,,2.48,1.96,2.81,1.77,1.98,,2.15,1.71,3.26,2.09,3.68,1.21,3.11,0.47,3.22,2.95,3.1,3.05,2.41,2.41,2.81,2.89,5.74,0.24,3.48
October,,,,,,2.64,3.11,3.48,7.03,3.83,1.14,4.05,2.81,4.52,3.81,1.49,0.3,2.83,7.04,0.5,1.23,4.02,4.6,2.35,4.34,1.37,2.09,3.51,2.89,6.77
November,,,,,,4.9,2.18,4.02,5.29,8.3,3.1,2.34,1.25,5.02,0.3,4.73,0.98,2.1,3.32,7.07,7.09,4.07,1.66,5.95,1.09,0.79,3.22,1.9,3.38,5.34
December,,,,,,3.4,5,3.64,1.9,1.63,2.2,3.3,2.34,2.71,3.66,,2.87,4.46,1.82,1.99,3.54,2.86,0.77,2.04,2.62,3.85,2.6,3.39,5.21,3.47
Total,,,,,,,38.42,26.98,36.4,30.13,,27.78,24.46,26.94,28.31,,24.95,37.34,25.32,32.85,45.79,31.42,25.95,32.94,25.3,28.65,27.18,34.66,25.28,36.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Apr 20 Gauge moved 2 miles 146yds SE from Purley Council Offices Stn No 93/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Sept Marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Dec Part estimated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Not printed High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Not printed High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Nov 8 Inspection Gauge sound Measure flat bottomed Site o/s by trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
