"KENLEY (REFUSE DISPOSAL WORKS)",,,,,,,,,,,,
Grid ref,TQ335593,Long,-0.085742,Lat,51.317154,,,,,,,
Station no,89/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.31,2.93,1.47,1.48,3.02,4.44,1.85,2.69,2.96,2.58,,
February,8.07,1.06,1.75,2.58,1.83,0.42,3.69,2.32,0.05,2.51,,
March,4.31,4.20,0.43,2.71,1.26,0.89,1.34,1.55,2.31,2.03,,
April,3.16,1.79,2.81,0.30,0.26,1.37,0.16,1.59,2.76,0.69,,
May,2.60,1.40,2.08,3.31,4.34,0.42,1.41,2.33,0.78,1.63,,
June,1.21,1.53,1.75,3.84,2.30,3.16,0.97,4.55,1.05,1.81,,
July,2.98,0.81,3.86,2.88,0.46,5.83,4.07,2.36,0.75,3.06,,
August,4.34,3.65,1.72,3.09,1.37,3.30,2.89,2.73,2.90,2.86,,
September,2.95,3.10,3.05,2.41,2.41,2.81,2.89,5.74,0.24,3.48,,
October,1.23,4.02,4.60,2.35,4.34,1.37,2.09,3.51,2.89,6.77,,
November,7.09,4.07,1.66,5.95,1.09,0.79,3.22,1.90,3.38,5.34,,
December,3.54,2.86,0.77,2.04,2.62,3.85,2.60,3.39,5.21,3.47,,
Total,45.79,31.42,25.95,32.94,25.30,28.65,27.18,34.66,25.28,36.23,,
Calc annual,45.79,31.42,25.95,32.94,25.30,28.65,27.18,34.66,25.28,36.23,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
