"DUNKELD INVERBRAAN",,,,,,,,,,,,
Grid ref,NO026422,Long,-3.586400,Lat,56.561626,,,,,,,
Station no,RR1093,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.70,5.12,1.92,6.41,4.17,0.96,5.52,1.50,,,,
February,4.93,1.60,1.86,7.24,4.64,1.96,2.70,1.35,,,,
March,2.51,2.77,1.36,9.29,3.05,5.50,1.49,2.52,,,,
April,1.62,2.94,2.74,1.81,3.91,2.23,0.74,2.49,,,,
May,3.96,3.16,1.93,2.26,2.68,2.06,6.52,4.36,,,,
June,3.92,2.86,2.82,2.65,2.17,1.60,1.23,4.42,,,,
July,3.61,1.02,2.83,6.47,2.23,1.30,1.78,2.30,,,,
August,5.97,5.55,3.04,5.00,5.64,4.34,4.86,3.51,,,,
September,1.79,4.51,3.15,2.32,4.44,1.49,1.51,1.10,,,,
October,4.15,3.17,2.80,8.53,1.03,2.76,5.98,4.79,,,,
November,5.50,1.55,6.34,1.77,0.71,6.38,4.90,3.00,,,,
December,8.68,6.00,6.97,4.52,3.40,3.13,2.05,4.74,,,,
Total,52.34,40.25,37.76,58.27,38.07,33.71,39.28,36.08,,,,
Calc annual,52.34,40.25,37.76,58.27,38.07,33.71,39.28,36.08,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,,
