HORNSEA - THE HALL,,,,,,,,,,,
Grid ref,TA200479,Long,-0.175,Lat,53.913,Elevation,35,ft,,,
Station no,RR4751,,,,,,,,,,
,,,,,,,,,,,
,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884
January,0.90,,0.96,3.05,2.31,1.64,,0.95,1.81,2.28,2.15
February,1.26,,2.40,3.52,0.96,2.26,,3.07,0.75,2.82,1.90
March,0.77,,3.07,1.17,0.84,1.12,,2.69,1.20,1.19,1.66
April,1.22,,1.82,3.58,1.73,1.91,,1.08,4.01,1.26,1.31
May,1.46,,0.91,1.40,2.57,1.98,,0.95,1.17,2.04,0.28
June,0.25,,2.58,2.71,1.09,2.20,,1.33,2.54,2.38,0.30
July,1.63,,2.38,3.25,0.14,3.32,,2.34,1.40,2.87,2.10
August,1.83,,1.34,4.65,4.95,2.26,,4.46,3.14,1.41,0.66
September,1.51,,3.69,3.60,1.84,2.13,,2.88,1.32,3.72,1.54
October,1.26,,2.71,2.23,2.82,1.51,,2.55,5.90,4.13,0.84
November,3.57,,3.43,1.78,3.97,1.32,,1.41,2.96,1.80,1.08
December,3.37,,4.99,1.99,2.77,0.57,,2.61,4.36,2.50,2.24
Total,19.03,,30.28,32.93,25.99,22.22,,26.32,30.56,28.40,16.06
,,,,,,,,,,,
TYRain_1870-1879_08_pt2/020,,,,,,,,,,,
TYRain_1880-1889_11_pt1/017,,,,,,,,,,,
,,,,,,,,,,,
# Church directions place the site at The Hall on Eastgate.,,,,,,,,,,,
