WILLAND-TIVERTON-JUNCTION,,,,,,,,,,
Grid ref,ST033113,Long,-3.376289,Lat,50.89306,Elevation,245,ft,,
Station no,1788/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.85,6.03,3.79
February,,,,,,,,3.93,0.3,3.93
March,,,,,,,,1.29,4.73,2.25
April,,,,,,,,0.81,3.07,2.97
May,,,,,,,,3.4,1.32,1.65
June,,,,,,,,2.94,1.4,1.16
July,,,,,,,,2.64,3.12,4.55
August,,,,,,,,3.51,2.45,2.85
September,,,,,,,,5.52,0.12,4.83
October,,,,,,,,3.91,3.77,11.45
November,,,,,,,,2.89,7.3,4.3
December,,,,,,,,4.87,9.16,5.05
Total,,,,,,,,39.56,42.77,48.78
,,,,,,,,,,
Unable to find observer so using NGR on sheet,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Tiverton Junction Willand SRC_ID 8261,,,,,,,,,,
1958-1971,,,,,,,,,,
