KINNAIRDHEAD,,,,,,,,,,,,
Grid ref,NJ998675,Long,-2.005019,Lat,57.697323,,,,,,,
Station no,5660,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.30,1.25,1.10,2.95,2.04,1.55,1.15,1.45,1.69,1.00,,
February,2.35,1.50,0.25,2.36,2.88,1.71,1.62,1.44,1.34,1.01,,
March,1.80,1.10,2.20,0.63,1.41,2.43,1.48,1.12,3.21,2.95,,
April,2.00,2.15,2.50,2.93,2.35,2.20,1.93,0.87,1.04,1.20,,
May,1.40,0.60,1.05,2.72,1.63,1.39,4.33,1.32,1.61,1.14,,
June,0.75,1.65,2.05,0.99,0.97,1.69,0.37,2.05,1.28,1.31,,
July,3.45,1.41,3.15,5.46,0.21,2.42,0.40,1.42,1.95,0.97,,
August,1.25,3.45,1.55,2.61,2.29,2.53,3.32,2.85,0.93,1.48,,
September,1.25,2.50,1.70,3.00,2.59,2.21,1.86,0.54,2.83,2.15,,
October,3.60,3.55,1.25,3.95,1.87,4.01,4.20,4.07,0.27,1.90,,
November,3.15,2.85,1.10,3.30,2.38,4.57,3.21,1.63,1.90,4.13,,
December,2.75,4.50,1.35,1.63,2.96,0.60,2.17,2.18,2.84,2.10,,
Total,27.05,26.51,19.25,32.53,23.58,27.31,26.04,20.94,20.89,21.34,,
Calc annual,27.05,26.51,19.25,32.53,23.58,27.31,26.04,20.94,20.89,21.34,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,,
