Rainfall at,KINNAIRDHEAD
,
Station no,,
,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,0.94,0.59,2.57,3.06,1.28,2.57,1.16,1.87,1.88,2.73,
February,0.33,1.25,2.11,0.48,2.71,3.04,2.63,1.11,2.88,2.26,
March,0.63,1.23,1.51,2.30,1.75,2.41,2.08,1.00,1.31,1.63,
April,0.31,0.94,1.57,2.12,1.14,0.38,0.60,2.57,2.07,2.02,
May,0.10,1.16,2.51,1.57,2.53,0.76,1.04,0.96,0.93,1.92,
June,1.07,0.98,2.27,1.37,1.33,0.59,0.92,0.99,0.69,1.91,
July,1.25,2.48,2.03,1.28,2.00,3.86,1.49,1.47,0.46,0.59,
August,2.58,6.39,2.71,4.15,2.31,1.45,1.65,1.61,3.62,1.19,
September,1.69,2.30,1.31,2.84,2.31,0.51,3.31,2.77,3.48,6.33,
October,2.19,0.14,2.45,3.01,3.23,2.70,1.45,3.17,3.26,4.80,
November,2.19,4.67,1.40,1.70,4.41,2.51,3.66,1.26,1.85,3.34,
December,2.02,1.50,2.58,3.05,2.22,1.05,2.77,3.49,3.05,2.52,
Total,15.30,23.63,25.02,26.93,27.22,21.83,22.76,22.27,25.48,31.24,
Calc annual,15.30,23.63,25.02,26.93,27.22,21.83,22.76,22.27,25.48,31.24,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,
