WHITBOURNE SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO723567,Long,-2.4067798,Lat,52.20782,Elevation,194,ft,,,,,,,,,,,,,
Station no,2262,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,4.04,1.13,5.04,1.39,,,,,,,,,
February,,,,,,,,,2.08,0.58,0.53,1.73,,,,,,,,,
March,,,,,,,,,2.63,0.09,2.34,0.22,,,,,,,,,
April,,,,,,,,,1.08,0.63,3.13,3.09,,,,,,,,,
May,,,,,,,,,0.9,2.23,2.04,3.88,,,,,,,,,
June,,,,,,,,,2.46,1.39,1.26,3.86,,,,,,,,,
July,,,,,,,,,0.64,1.41,3.8,2.5,,,,,,,,,
August,,,,,,,,,1.93,1.45,3.47,3.81,,,,,,,,,
September,,,,,,,,,0.61,1.09,3.64,1.76,,,,,,,,,
October,,,,,,,,,4.31,3.85,2.99,0.74,,,,,,,,,
November,,,,,,,,,2.32,8.32,3.08,3.57,,,,,,,,,
December,,,,,,,,,2.27,5.63,3.31,0.97,,,,,,,,,
Total,,,,,,,,,25.27,27.8,34.63,27.52,,,,,,,,,
