"SANTON VICARAGE",,,,,,,,,,,,
Grid ref,SC311712,Long,-4.585114,Lat,54.108870,,,,,,,
Station no,RR2909,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.21,2.30,1.31,3.64,2.05,1.50,3.11,1.48,2.21,1.40,,
February,2.81,1.88,2.16,1.84,3.15,1.40,2.79,1.95,2.59,1.56,,
March,0.83,1.59,0.99,2.68,2.04,2.71,1.45,2.18,2.92,2.93,,
April,2.16,1.57,1.20,1.46,1.13,2.26,1.53,1.48,2.83,2.72,,
May,2.26,1.86,2.32,2.08,1.90,1.56,3.63,2.56,2.50,1.43,,
June,1.60,2.34,1.58,2.00,1.14,1.74,1.16,3.82,2.06,1.70,,
July,1.31,1.36,2.30,3.42,1.52,1.09,2.25,1.54,3.28,3.81,,
August,4.91,1.95,2.63,2.89,4.13,4.09,3.08,2.80,2.92,2.63,,
September,1.81,1.93,3.15,5.06,2.10,2.11,1.40,0.74,4.62,3.43,,
October,4.52,6.08,3.28,5.78,0.79,2.56,3.47,4.16,2.23,7.13,,
November,4.34,3.77,3.04,2.96,2.37,2.98,2.85,2.80,4.14,2.10,,
December,3.32,3.23,3.51,2.52,1.81,0.98,4.58,3.03,4.71,6.60,,
Total,33.08,29.86,27.47,36.33,24.13,24.98,31.30,28.54,37.01,37.44,,
Calc annual,33.08,29.86,27.47,36.33,24.13,24.98,31.30,28.54,37.01,37.44,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
