ESSENDON (BEDWELL PARK),,,,,,,,,,,,
Grid ref,TL277078,Long,-0.151345,Lat,51.754342,,,,,,,
Station no,947/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.34,4.28,1.24,2.60,2.68,2.38,,
February,,,,,1.85,0.57,3.11,2.87,0.09,2.20,,
March,,,,,1.25,1.01,1.37,1.24,2.18,1.73,,
April,,,,,0.53,1.31,0.21,1.34,2.81,0.60,,
May,,,,-999.00,4.69,0.76,0.87,2.91,0.83,1.66,,
June,,,,-999.00,2.47,2.79,2.11,4.76,1.37,1.94,,
July,,,,-999.00,0.83,4.02,3.17,2.23,3.00,2.82,,
August,,,,-999.00,1.52,5.19,1.86,3.11,2.16,2.92,,
September,,,,-999.00,1.64,2.56,3.29,3.42,0.09,3.89,,
October,,,,-999.00,3.71,2.00,1.92,2.70,2.27,5.92,,
November,,,,-999.00,1.15,0.73,2.20,2.57,2.52,3.89,,
December,,,,-999.00,2.28,4.19,2.37,3.10,4.69,3.14,,
Total,,,,,24.26,29.41,23.72,32.85,24.69,33.09,,
Calc annual,0.00,0.00,0.00,0.00,24.26,29.41,23.72,32.85,24.69,33.09,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
