ESSENDON-BEDWELL-PARK,,,,,,,,,,
Grid ref,TL277078,Long,-0.1513452,Lat,51.754342,Elevation,360,ft,,
Station no,947/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.34,4.28,1.24,2.6,2.68,2.38
February,,,,,1.85,0.57,3.11,2.87,0.09,2.2
March,,,,,1.25,1.01,1.37,1.24,2.18,1.73
April,,,,,0.53,1.31,0.21,1.34,2.81,0.6
May,,,,,4.69,0.76,0.87,2.91,0.83,1.66
June,,,,,2.47,2.79,2.11,4.76,1.37,1.94
July,,,,,0.83,4.02,3.17,2.23,3,2.82
August,,,,,1.52,5.19,1.86,3.11,2.16,2.92
September,,,,,1.64,2.56,3.29,3.42,0.09,3.89
October,,,,,3.71,2,1.92,2.7,2.27,5.92
November,,,,,1.15,0.73,2.2,2.57,2.52,3.89
December,,,,,2.28,4.19,2.37,3.1,4.69,3.14
Total,,,,,24.26,29.41,23.72,32.85,24.69,33.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Record commences 1955,,,,,,,,,,
