"ASHBURTON (HELE HOUSE)",,,,,,,,,,,,
Grid ref,SX743703,Long,-3.774462,Lat,50.518949,,,,,,,
Station no,1700,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.47,6.13,1.14,2.27,7.43,5.59,6.57,6.51,9.46,5.79,,
February,6.78,0.69,2.03,4.85,4.70,0.23,8.81,5.43,0.36,7.54,,
March,5.73,4.59,0.98,5.41,2.59,1.99,6.08,2.69,6.33,4.29,,
April,2.66,5.53,3.25,0.45,1.70,1.16,0.50,0.93,5.79,3.83,,
May,2.84,2.74,4.95,3.59,5.22,1.07,2.77,4.31,1.85,2.74,,
June,0.77,1.15,2.83,4.61,3.35,2.52,2.67,4.49,1.96,1.97,,
July,1.96,1.53,3.19,2.75,3.41,4.02,4.99,4.73,1.22,4.65,,
August,6.65,5.72,2.65,2.86,0.29,4.09,3.52,4.92,2.82,4.53,,
September,5.42,4.08,5.17,4.89,1.33,10.09,4.70,6.56,0.37,6.30,,
October,1.31,8.36,4.12,4.76,3.62,2.96,2.85,5.25,4.36,10.80,,
November,8.41,6.52,3.39,10.39,6.63,1.98,3.10,2.92,10.78,9.53,,
December,5.66,5.11,1.06,4.57,8.16,7.96,4.76,6.32,11.98,5.76,,
Total,54.66,52.15,34.76,51.40,48.43,43.66,51.32,55.06,57.28,67.73,,
Calc annual,54.66,52.15,34.76,51.40,48.43,43.66,51.32,55.06,57.28,67.73,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
