ASHBURTON-HELE-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX743703,Long,-3.774462,Lat,50.518949,Elevation,350,ft,,,,,,,,,,,,,
Station no,1700,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,9.68,9.29,8.56,10.25,3.7,10.37,5.7,9.91,5.35,,,,,,,
February,,,,,,7.74,5.3,4.97,5.19,4.44,2.41,4.53,0.06,5.18,,,,,,,
March,,,,,,0.74,1.61,6.54,6.28,0.42,3.77,3.32,3.72,7.31,,,,,,,
April,,,,,,3.83,3.25,2.74,3.04,0.69,4.15,4.51,4.21,2.76,,,,,,,
May,,,,,6.41,5.06,1.87,0.68,1.07,4.48,2.2,3.85,4.75,2.88,,,,,,,
June,,,,,2.95,0,4.94,2.97,2.75,2.37,0.51,5.15,4.75,2.58,,,,,,,
July,,,,,5.72,3.61,1.07,5.14,1.69,1.86,3.15,4.59,2.97,3.11,,,,,,,
August,,,,,4.42,4.79,2.22,4.72,2.72,2.93,5.62,4.95,2.32,1.42,,,,,,,
September,,,,,6.85,4.42,1.2,6.83,2,0.52,7.22,1.62,6.04,2.81,,,,,,,
October,,,,,8.82,6.38,3.94,3.81,10.29,8.42,6.52,0.97,10.1,5.59,,,,,,,
November,,,,,5.51,5.24,12.16,4.11,9.37,18.68,9.97,11.61,4.27,1.55,,,,,,,
December,,,,,10.51,9.04,0.67,6.41,6.71,14.48,6,3.01,4.79,2.95,,,,,,,
Total,,,,,,60.53,47.52,57.48,61.36,62.99,61.89,53.81,57.89,43.49,,,,,,,
