KILMARNOCK ANNANHILL,,,,,,,,,,,,,,,,,,,,
Grid ref,NS413379,Long,-4.5209708,Lat,55.608748,Elevation,165,ft,,,,,,,,,,,,
Station no,RR8442,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,2.9,6.04,5.41,3.6,5.06,1.7,5.48,4.95,1.66,1.98,,,,,,,,,
February,,4.7,2.24,0.62,1.06,1.32,3.96,4.42,2.4,1.52,3.41,,,,,,,,,
March,,3.3,1.82,2.08,3.32,1.41,5.12,2.51,1.84,2.86,2.2,,,,,,,,,
April,,3.5,0.41,0.2,1.29,0.92,1.1,2.77,2.5,0.91,3.48,,,,,,,,,
May,,0.44,2.5,2.32,2.17,1.43,0.72,2.14,2.26,2.35,0.98,,,,,,,,,
June,,1.66,5.98,1.7,1.46,3.2,3.6,3.76,2.5,4,2.22,,,,,,,,,
July,,3.55,3.36,5.81,2.68,2.15,3.24,4.09,1.64,3.9,3.9,,,,,,,,,
August,,4.07,4.34,5.12,5.55,3.37,4.82,5.52,3.19,4.62,0.61,,,,,,,,,
September,,1.65,8.36,5.86,5.41,5.66,2.56,1.81,4.94,5.54,3.55,,,,,,,,,
October,,1.81,3.02,6.08,6.18,3.72,6.7,5.04,5.34,2.26,1.08,,,,,,,,,
November,,2.53,4.74,2.22,4.14,3.96,2.6,5.81,1.73,1.28,4.48,,,,,,,,,
December,,3.22,5.06,2.18,1.84,2.5,6.14,5.45,1.97,2.06,4.05,,,,,,,,,
Total,,33.33,47.87,39.6,38.7,34.7,42.26,48.8,35.26,32.96,31.94,,,,,,,,,
