HAWES WATER MEASAND SANDHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY484152,Long,-2.7988394,Lat,54.529437,Elevation,824,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,8.89,11.21,15.06,8.88,6.33,7.21,10.05,10.83,7.87,17.11,2.15,14.04,6.83,15.39,12.43,12.58,2.95,9.93,10.88,10.91,11,2.04,1.63,6.89,,,,,,,,
February,,1.39,9.21,0.3,8.86,10.87,1.18,9.79,6.41,3.75,7.97,1.59,0.77,5.71,0.17,6.83,0.5,12.89,4.23,9.02,3.36,7.59,2.16,6.88,2.16,,,,,,,,
March,,6.93,12.15,13.36,5.78,4.37,1.73,2.36,3.02,7.07,8.44,0.7,4.4,1.47,5.44,6.03,5.71,2.81,4.85,3.5,4.24,6.15,5.74,3.46,6.18,3.02,,,,,,,
April,,3.96,9.65,2.18,5.5,4.92,3.18,7.29,4.18,4.36,1.97,2.61,2.81,4.02,7.6,2.75,5.63,6.76,1.75,4.56,0.26,2.02,2.39,1.87,6.03,4.9,,,,,,,
May,,1.93,11.74,3.23,3.04,5.03,8.16,7.86,3.41,3.15,1.39,5.21,3.85,4.9,4.85,3.47,6.01,1.05,1.81,3.45,5.53,0.96,1.16,2.93,7.46,6.83,,,,,,,
June,,3.16,2.88,0.55,4.01,1.37,3.44,0.25,6.29,4.71,9.12,2.17,4.12,7.2,3.63,2.62,2.74,6.85,4.57,1.6,6.15,4.87,1.18,0.05,1,6.04,,,,,,,
July,,1.59,10.54,4.9,8.4,3.48,6.97,1.91,4.6,5.06,4.36,7.36,5.37,5.59,7.41,4.9,1.87,2.81,7.43,2.97,8.44,8.52,6.58,0.95,3.89,4.26,,,,,,,
August,,4.98,4.57,8.79,6.01,12.95,5.2,5.03,5.98,8.99,9.32,6.82,11.03,5.42,1.56,3.68,6.46,3.74,2.72,3.26,3.56,3.11,1.91,10.62,6.72,8.93,,,,,,,
September,,6.37,3.36,3.22,5.2,7.81,9.8,6.17,5.74,7.65,2.91,2.99,5.51,2.97,7.18,2.77,10.09,13.57,7.51,6.12,2.84,1.92,5.88,1.53,8.17,6.75,,,,,,,
October,10.53,3.15,3.97,3.61,2.47,16.1,7.24,6.96,4.65,9,12.44,10.21,14.12,4.99,13.02,6.57,12.44,11.55,9.56,4.62,16.89,3.68,10.48,6.61,6.93,9.43,,,,,,,
November,6.4,7.86,9.01,4.26,3.93,8.29,4.39,2.32,13.39,4.83,13.03,14.12,8.97,15.92,6.18,3.37,1.2,8.45,7.75,1.57,10.52,11.75,9.96,4.66,1.9,4.97,,,,,,,
December,9.61,14.5,9.41,11.3,13.34,8.6,15.41,8.15,1.17,2.17,5.62,17.19,8.86,5.71,13.24,0.72,14.44,4.45,12.5,4.07,5.49,4.47,5.21,5.66,10.2,4.64,,,,,,,
Total,,64.71,97.7,70.76,75.42,90.12,73.91,68.14,69.67,68.61,93.68,73.12,83.85,70.73,85.67,56.14,79.67,77.88,74.61,55.62,78.19,66.04,54.69,46.85,67.53,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Jan and Feb amended by ref check gauge - both classed as estimated along with total. Note: to be abandoned 12/43 - gauge #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
