AUSTWICK-TOWN-HEAD,,,,,,,,,,
Grid ref,SD769688,Long,-2.3548607,Lat,54.114548,Elevation,525,ft.,,
Station no,3067,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,5.87,6.67,1.8,4.7,2.74,5.18,4.03,7.12,6.37,
February,5.63,0.2,4.25,0.25,6.42,2.52,7.61,2.29,4.15,
March,0.55,3.01,2.39,2.61,1.36,2.53,1.83,1.94,2.38,
April,3.5,3.73,1.4,2.54,3.36,0.87,2.82,0.98,2.16,
May,2.11,4.06,2.45,3.46,1.16,0.95,2.79,3.5,,
June,5.94,1.78,1.54,2.19,3.8,2.98,2.2,4.64,,
July,4.67,4.5,5.2,3.52,2.91,4.67,2.26,5.09,,
August,3.17,1.42,1.9,4.9,2.45,2.76,2.11,4.88,,
September,1.8,5.96,1.31,3.71,10.09,3.81,3.05,2.43,,
October,2.09,6.92,-999,6.7,8.9,4.9,1.87,11.6,,
November,8.23,3.39,-999,1.13,4.97,6.08,1,6.04,,
December,3.7,2.48,2.3,6.98,3.68,6.57,2.64,5.97,,
Total,47.26,44.12,29.13,42.69,51.84,43.82,34.21,56.48,,
,,,,,,,,,,
NGR is in Town Head. Altitudes match. Gauge moved to Cross House in May 1939,,,,,,,,,,
