"EARLESTOWN NEWTON CEMETERY",,,,,,,,,,,,
Grid ref,SJ587946,Long,-2.623291,Lat,53.446537,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.64,1.91,4.66,1.63,2.45,1.79,,
February,,,,,4.07,1.86,3.27,1.51,2.94,0.86,,
March,,,,,1.94,3.44,2.62,2.66,3.02,3.00,,
April,,,,,1.80,2.43,1.36,1.25,2.95,3.35,,
May,,,,,2.23,0.51,2.77,3.60,3.21,2.03,,
June,,,,,1.63,2.41,1.46,5.15,2.18,2.62,,
July,,,,2.97,1.31,1.95,1.36,3.47,4.32,5.25,,
August,,,,3.79,4.10,3.32,3.00,3.88,3.09,3.26,,
September,,,,4.43,2.00,2.49,2.26,0.77,3.68,2.92,,
October,,,,7.16,1.70,3.85,5.27,3.85,3.01,5.46,,
November,,,,3.30,2.27,4.02,2.25,3.51,3.58,1.99,,
December,,,,1.70,3.17,0.37,3.57,3.42,2.37,6.78,,
Total,,,,,28.86,28.56,33.85,34.70,36.80,39.31,,
Calc annual,0.00,0.00,0.00,23.35,28.86,28.56,33.85,34.70,36.80,39.31,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,,
