"EARLSTOWN (NEWTON CEMETERY)",,,,,,,,,,,,
Grid ref,SJ587946,Long,-2.623291,Lat,53.446537,,,,,,,
Station no,2823,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.25,,,,,,,,,,,
February,0.99,,,,,,,,,,,
March,4.58,,,,,,,,,,,
April,1.83,,,,,,,,,,,
May,3.04,,,,,,,,,,,
June,0.78,,,,,,,,,,,
July,2.67,,,,,,,,,,,
August,5.03,,,,,,,,,,,
September,2.87,,,,,,,,,,,
October,0.57,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,24.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
