Rainfall at,DRUM CASTLE
,
Station no,5640,
,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.18,4.86,4.21,1.30,3.21,0.71,1.74,1.71,3.68,
February,,0.83,2.40,0.86,3.02,6.27,2.13,0.84,1.08,1.83,
March,,1.66,2.44,3.29,3.24,1.60,2.34,1.31,1.60,1.81,
April,,1.45,0.40,2.48,0.87,0.69,2.89,1.10,0.39,3.08,
May,,3.08,2.19,5.09,2.64,1.23,3.34,1.35,2.51,1.01,
June,,1.82,1.99,1.77,0.55,1.14,4.01,1.54,1.26,1.09,
July,,2.26,2.32,1.73,3.68,4.97,3.83,1.79,5.30,0.85,
August,,1.24,4.78,1.75,1.47,1.48,3.08,4.39,2.19,2.66,
September,,0.78,1.11,3.52,1.50,2.79,1.33,1.57,3.49,2.26,
October,,2.37,7.24,1.38,3.04,5.55,4.88,3.13,2.40,2.58,
November,,5.09,2.62,1.12,2.58,2.66,3.87,3.18,2.50,5.10,
December,,7.13,1.24,1.25,7.18,8.05,3.94,1.02,1.58,4.72,
Total,,28.89,33.59,28.45,31.07,39.64,36.35,22.96,26.01,30.67,
Calc annual,0.00,28.89,33.59,28.45,31.07,39.64,36.35,22.96,26.01,30.67,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
