DRUM CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ796006,Long,-2.338305,Lat,57.095927,Elevation,275,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,,,,,,,,2.62,3.8,6.39,2.02,1.95,4.9,2.88,1.55,4.12,1.21,4.66,1.23,1.44,0.78,1.2,1.06,3.75,3.85,1.92,0.6,1.03,3.29,3.72,,,,,,,,,,,,,,,,,,,,,,1.18,4.86,4.21,1.3,3.21,0.71,1.74,1.71,3.68,1.73,1.09,5.16,1.98,1.64,1.49,4.35,2.51,4.27,1.98,2.63,2.93,2.39,2.32,1.4,1.61,5.16,8.37,2.93,3.96,1.52,3.13,4.32,3.49,1.72,4.91,1.53,4.71,4.7,1.42,2.69,3.65,3.16,1.2,1.23,1.34,3.89,2.75,3.61,2.47,5.22,,,,,,,,
February,,,,,,,,1.25,1.63,1.48,6.12,4.27,8.33,1.75,2.74,1.6,4.67,2.21,1.09,1.28,4.3,4.3,0.66,8.33,3.49,2.7,0.62,2.48,7.9,5.27,,,,,,,,,,,,,,,,,,,,,,0.83,2.4,0.86,3.02,6.27,2.13,0.84,1.08,1.83,0.79,0.43,2.79,8.12,1.73,4.18,3.95,1.72,0.77,2.03,2.02,1.57,0.32,3.78,0.38,1.63,3.69,2.4,1.12,2.86,2.18,3.73,2.2,0.96,1.55,1.73,1.71,2.77,1.04,1.28,3.11,4.26,1.36,1.53,3.54,3.14,2.1,2.53,3.73,0.28,3.33,,,,,,,,
March,,,,,,,,3.04,2.48,2.36,0.89,0.6,2.32,2.73,2.29,3.44,3.1,2.59,2.28,2.44,2.01,2.04,3.57,4.6,4.8,3.42,1.57,4.76,5.73,2.92,,,,,,,,,,,,,,,,,,,,,,1.66,2.44,3.29,3.24,1.6,2.34,1.31,1.6,1.81,2.41,1.86,1.92,1.15,1.26,1.71,1.15,2.4,4.09,0.25,1.3,1.3,2.9,2.39,1.93,2.04,1.73,3.41,0.33,2.86,2.58,1.96,1.07,0.57,1.29,0.82,2.3,4.05,0.91,2.61,2.95,2.94,3.63,0.36,2.76,2.12,1.83,2.4,4.85,1.78,1.8,,,,,,,,
April,,,,,,,,3.52,4.72,2.22,0.9,0.95,4.3,0.9,1.03,1.72,2.95,3.84,1.29,5.97,2.53,1.51,5.15,2.19,1.33,2.31,1.28,2.41,3.21,5.15,,,,,,,,,,,,,,,,,,,,,,1.45,0.4,2.48,0.87,0.69,2.89,1.1,0.39,3.08,2,1.7,3.1,2.06,1.24,3.5,2.54,1.94,2.09,1.78,3.13,2.07,3.64,1.74,6.83,4.57,0.74,1.68,0.66,0.92,1.93,2.66,1.66,1.7,2.34,1.1,0.52,2.73,1.03,0.95,1.74,2.96,1.76,3.29,1.12,0.9,1.48,1.12,1.51,2.43,1.82,,,,,,,,
May,,,,,,,2.56,2.62,1.78,2.08,2.47,0.96,4,3.82,1.64,1.98,0.71,3.05,1.92,2.94,0.55,2.78,1.53,0.9,0.85,3.4,3.42,2.52,2.33,2.48,,,,,,,,,,,,,,,,,,,,,,3.08,2.19,5.09,2.64,1.23,3.34,1.35,2.51,1.01,3.78,1.19,0.87,3.98,4.65,3.01,2.19,2.95,1.9,2.21,1.07,4,2.84,1.56,3.12,2.05,1.2,1.96,2.89,1.46,1.55,2.48,3.87,5.22,3.13,5.02,2.46,3.87,3.32,2.09,1.81,1.62,2.78,2.14,4.27,3.35,0.37,1.99,3.27,2.14,0.98,,,,,,,,
June,,,,,,,2.54,1.46,0.54,3.27,0.95,1.77,5.41,1.32,0.78,4.06,1.46,3.95,3.16,4.51,2.65,2.88,4.51,1.45,0.88,2.05,1.02,5.02,1.69,1.01,,,,,,,,,,,,,,,,,,,,,,1.82,1.99,1.77,0.55,1.14,4.01,1.54,1.26,1.09,0.41,1.12,2.39,0.82,1.75,1.1,2.87,3.19,2.81,2.05,1.87,2.89,0.88,1.02,0.96,4.09,2.29,1.21,3.08,1.8,1.25,1.4,1.33,2.34,2.41,2.64,2.85,2.17,4.83,2.02,1.8,1.62,2.99,2.78,2.25,1.83,1.84,3.52,2,2.72,1.71,,,,,,,,
July,,,,,,,4.42,4.91,0.71,1.05,2.54,4.47,2.36,5.72,2.73,5.21,1.38,3.9,0.44,4.64,4.31,5.01,6.3,3.38,3.28,2.14,0.4,0.42,5.74,3.58,,,,,,,,,,,,,,,,,,,,,,2.26,2.32,1.73,3.68,4.97,3.83,1.79,5.3,0.85,3.46,1.48,4.03,2.01,5.33,3.01,2.09,1.68,2.41,4.51,1.53,3.2,2.4,3.16,2.07,2.1,5.32,4.05,5.53,5.97,7.97,2.94,2.19,1.36,2.86,2.66,5.03,1.66,3.01,2.93,4.74,5.28,1.82,3.88,2.58,0.79,4.79,6.87,5.51,1.54,4.26,,,,,,,,
August,,,,,,,3.96,3.49,6.13,1.04,1.25,3.14,2.74,3.48,8.86,2.8,2.3,8.26,6.58,4.91,0.52,4.02,3.12,2.43,1.9,1.7,1.6,2.94,6.95,2.98,,,,,,,,,,,,,,,,,,,,,,1.24,4.78,1.75,1.47,1.48,3.08,4.39,2.19,2.66,2.37,1.49,2.43,4.68,3.32,1.45,1.52,3.2,4.65,2.7,8.33,2.58,1.81,1.29,4.08,2.24,1.53,2.34,1.54,1.69,1.45,4.47,2.8,4.75,1.22,5.36,2.85,0.03,4.23,4.44,2.78,4.39,5.21,2.5,3.72,0.53,3.64,4.49,5.71,0.7,6.23,,,,,,,,
September,,,,,,,3.67,2.64,5.17,4.81,3.26,3.56,8.25,5.8,2.48,5.28,3.1,2.26,3.52,2.24,4.52,4.08,2.77,4.04,1.96,2.13,2.01,2.83,8.55,6.18,,,,,,,,,,,,,,,,,,,,,,0.78,1.11,3.52,1.5,2.79,1.33,1.57,3.49,2.26,2.39,0.76,3.73,2.94,4.04,3.02,4.7,5.74,2.81,1.42,6.36,1.25,2.85,1.18,2.58,3.94,2.16,1.12,3.8,2.37,2.16,0.56,3.01,2.73,2.39,3.05,4.68,2.27,2.06,1.84,6.22,1.34,1.51,3.85,1.15,1.76,4.52,2.24,1.91,0.73,3.19,,,,,,,,
October,,,,,,,3.28,2.44,2.73,8.17,5.51,5.4,6.14,3.57,3.12,8.47,4.2,2.58,4.15,1.58,3.31,5.8,4.55,2.82,4.34,3.16,3.2,3.28,7.86,5.43,,,,,,,,,,,,,,,,,,,,,,2.37,7.24,1.38,3.04,5.55,4.88,3.13,2.4,2.58,4.17,1.41,1.41,3.68,3.43,2.6,4.98,4.83,3.05,2.81,2.95,1.19,8.72,5.53,4.2,3.94,0.96,3.88,3.7,5.18,4.38,6.02,4.38,3.45,5.5,4.32,0.39,2.66,3.26,3.33,1.74,1.13,3.35,1.99,5.19,4.9,2.72,1.36,1.99,3.71,9.78,,,,,,,,
