Rainfall at,DRUMOAK (DRUM CASTLE)
,
Station no,5640,
,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,2.93,2.39,2.32,1.40,1.61,5.16,8.37,2.93,3.96,1.52,
February,1.57,0.32,3.78,0.38,1.63,3.69,2.40,1.12,2.86,2.18,
March,1.30,2.90,2.39,1.93,2.04,1.73,3.41,0.33,2.86,2.58,
April,2.07,3.64,1.74,6.83,4.57,0.74,1.68,0.66,0.92,1.93,
May,4.00,2.84,1.56,3.12,2.05,1.20,1.96,2.89,1.46,1.55,
June,2.89,0.88,1.02,0.96,4.09,2.29,1.21,3.08,1.80,1.25,
July,3.20,2.40,3.16,2.07,2.10,5.32,4.05,5.53,5.97,7.97,
August,2.58,1.81,1.29,4.08,2.24,1.53,2.34,1.54,1.69,1.45,
September,1.25,2.85,1.18,2.58,3.94,2.16,1.12,3.80,2.37,2.16,
October,1.19,8.72,5.53,4.20,3.94,0.96,3.88,3.70,5.18,4.38,
November,5.63,1.59,5.16,2.42,5.43,2.10,1.12,3.20,3.76,7.30,
December,1.60,1.95,2.63,6.55,3.65,2.39,4.94,5.20,2.25,2.62,
Total,30.21,32.29,31.76,36.52,37.29,29.27,36.48,33.98,35.08,36.89,
Calc annual,30.21,32.29,31.76,36.52,37.29,29.27,36.48,33.98,35.08,36.89,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,
