DRUMOAK (DRUM CASTLE),,,,,,,,,,,,
Grid ref,NJ796006,Long,-2.338305,Lat,57.095927,,,,,,,
Station no,5640,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.65,3.16,1.20,1.23,1.34,3.89,2.75,3.61,2.47,5.22,,
February,4.26,1.36,1.53,3.54,3.14,2.10,2.53,3.73,0.28,3.33,,
March,2.94,3.63,0.36,2.76,2.12,1.83,2.40,4.85,1.78,1.80,,
April,2.96,1.76,3.29,1.12,0.90,1.48,1.12,1.51,2.43,1.82,,
May,1.62,2.78,2.14,4.27,3.35,0.37,1.99,3.27,2.14,0.98,,
June,1.62,2.99,2.78,2.25,1.83,1.84,3.52,2.00,2.72,1.71,,
July,5.28,1.82,3.88,2.58,0.79,4.79,6.87,5.51,1.54,4.26,,
August,4.39,5.21,2.50,3.72,0.53,3.64,4.49,5.71,0.70,6.23,,
September,1.34,1.51,3.85,1.15,1.76,4.52,2.24,1.91,0.73,3.19,,
October,1.13,3.35,1.99,5.19,4.90,2.72,1.36,1.99,3.71,9.78,,
November,9.92,3.41,2.43,6.77,2.56,1.72,1.76,0.64,6.40,6.28,,
December,2.86,2.76,3.20,4.00,5.92,4.39,4.17,5.66,6.10,2.85,,
Total,41.97,33.74,29.15,38.58,29.14,33.29,35.20,40.39,31.00,47.45,,
Calc annual,41.97,33.74,29.15,38.58,29.14,33.29,35.20,40.39,31.00,47.45,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
