BIRCHINLEE MOOR COTE RIDGE,,,,,,,,,,,,
Grid ref,SK155915,Long,-1.768240,Lat,53.420075,,,,,,,
Station no,RR7344,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.26,1.77,3.58,2.55,,
February,,,,,,,3.63,2.24,3.64,4.04,,
March,,,,,,,3.50,4.49,3.36,4.50,,
April,,,,,,,1.40,2.82,2.51,3.15,,
May,,,,,,,3.67,4.78,3.45,2.41,,
June,,,,,,,1.75,7.22,2.14,4.23,,
July,,,,,,,3.43,3.42,4.89,6.19,,
August,,,,,,,4.21,4.40,3.66,2.15,,
September,,,,,,,1.88,0.75,3.68,3.48,,
October,,,,,,,6.37,7.06,1.42,6.45,,
November,,,,,,,6.14,4.17,4.60,2.08,,
December,,,,,,,3.97,4.35,2.78,6.58,,
Total,52.21,45.55,41.43,64.40,39.42,,46.21,47.47,39.71,47.81,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,46.21,47.47,39.71,47.81,,
Difference,52.21,45.55,41.43,64.40,39.42,NaN,0.00,-0.00,0.00,0.00,,
