BIRCHINLEE-MOOR-COTE-RIDGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK155915,Long,-1.7682396,Lat,53.420075,Elevation,1440,ft.,,,,,,,,,,,,
Station no,RR7344,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,6.26,1.77,3.58,2.55,3.78,1.56,4.56,5,5.86,,,,,
February,,,,,,,3.63,2.24,3.64,4.04,4.66,6.14,2.07,1.73,3.14,,,,,
March,,,,,,,3.5,4.49,3.36,4.5,0.85,2.9,6.28,5.91,6.38,,,,,
April,,,,,,,1.4,2.82,2.51,3.15,5.2,3.97,1.23,4.34,2.9,,,,,
May,,,,,,,3.67,4.78,3.45,2.41,3.7,1.43,3.23,3.05,3.19,,,,,
June,,,,,,,1.75,7.22,2.14,4.23,3.84,4.13,5.12,2.59,3.76,,,,,
July,,,,,,,3.43,3.42,4.89,6.19,5.25,0.41,7.04,1.16,5.12,,,,,
August,,,,,,,4.21,4.4,3.66,2.15,6.94,2.91,9.38,2.29,3.47,,,,,
September,,,,,,,1.88,0.75,3.68,3.48,0.39,3.11,3.64,3.2,3.68,,,,,
October,,,,,,,6.37,7.06,1.42,6.45,3.45,4.36,4.17,5.62,3.59,,,,,
November,,,,,,,6.14,4.17,4.6,2.08,4.47,5.91,3.22,6.44,6.89,,,,,
December,,,,,,,3.97,4.35,2.78,6.58,7.45,8.05,8.03,2.79,7.73,,,,,
Total,52.21,45.55,41.43,64.4,39.42,40.4,46.21,47.47,39.71,47.81,49.98,44.88,57.97,44.12,55.71,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Birchinlee Pasture at the stated altitude near the head of Cote Clough.,,,,,,,,,,,,,,,,,,,,
