MANSFIELD-GROVE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK5400360757,Long,-1.1941447,Lat,53.141234,Elevation,350,ft,,,,,,,,,,,,
Station no,RR7211,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,1.15,4.36,2.79,1.7,3.38,1.33,4.15,1.97,1.64,0.39,0.69,3.23,,,,,,,
February,2.25,1.78,2.78,1.22,2.03,1.9,3.03,2.4,1.35,3.01,2.21,4.44,1.99,,,,,,,
March,2.61,1.85,2.29,2.64,0.88,0.88,3.04,2.57,0.49,0.97,2.3,3.07,,,,,,,,
April,0.72,3.37,3.18,0.8,1.77,0.91,2.68,2.9,1.53,2.67,1.28,1.12,,,,,,,,
May,1.22,1.63,1.98,2.55,1.39,1.52,1.02,3.4,4.87,3.64,1.78,1.57,,,,,,,,
June,1.28,4.55,6.1,1.38,0.49,2.63,2.55,1.57,2.4,4.77,4.3,2,,,,,,,,
July,1.13,4.13,4.04,2.4,2.06,4.28,1.95,2.55,1.08,3.27,6.13,1.3,,,,,,,,
August,1.11,0.93,2.58,3.23,2.09,3.45,1.48,4.73,8.27,3.39,2.46,5.72,,,,,,,,
September,1.4,5.8,3.17,1.47,2.4,2.95,4.49,3.53,1.54,2.62,4.64,1.81,,,,,,,,
October,5.2,1.93,4.61,2.63,2.54,5.03,2.28,1.84,2.93,0.98,5.86,3.1,,,,,,,,
November,2.3,1.35,3.49,2.37,3.12,3.99,3.91,2.67,2.43,1.59,2.91,2.81,,,,,,,,
December,2.93,1.65,3.56,0.21,2.48,1.54,7.47,2.52,1.8,1.15,3.16,2.58,,,,,,,,
Total,,30.12,42.14,23.69,22.95,32.46,35.23,34.83,30.66,29.7,37.42,30.21,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1870 Jan estimated,,,,,,,,,,,,,,,,,,,,
