HESSLE - TRANBY PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA018270,Long,-0.458,Lat,53.729,Elevation,161,ft,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896
January,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,1.12,1.20,1.54,5.26,0.64
February,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1.85,2.67,2.39,0.60,0.65
March,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,0.96,0.37,0.85,2.29,
April,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,1.54,0.35,1.46,1.40,
May,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,3.17,1.09,1.83,0.68,
June,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,3.88,1.20,3.77,2.34,
July,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,1.53,2.11,3.34,4.87,
August,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,2.79,1.93,2.51,3.22,
September,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,1.50,1.19,1.60,0.95,0.86,
October,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,3.66,5.02,1.97,5.37,3.39,
November,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,2.89,1.44,2.75,1.69,2.17,
December,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,3.16,1.18,2.13,2.25,2.25,
Total,26.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.65,25.67,19.37,27.95,29.33,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
