LINGFIELD-FELCOURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ382420,Long,-0.02458,Lat,51.16084,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,2.77,4.86,1.79,2.71,3.18,3.94,2.8,4.54,1.03,5.21,2.49,3.9,2.61,3.06,1.11,6.07,7.22,3.73,5.74,2.63,2.91,3.35,,,,,,,,
February,,0.65,2.75,5.59,0.84,5.36,2.74,5.36,1.95,1.01,1.19,2.49,0.77,3.11,0.31,4.92,2.39,5.41,1.12,1.58,2.74,3.58,0.84,,,,,,,,
March,,1.87,2.63,2.37,2.33,0.91,0.35,4.25,2.63,0.02,1.21,0.34,1.93,4.27,3.23,0.51,1.51,4.32,0.48,1.3,3.08,3.5,2.56,,,,,,,,
April,,1.03,3.41,2.79,3.33,2.83,4.07,1.97,1.95,0.79,1.7,4.17,2.81,0.77,3.64,3.38,2.13,2.76,0.16,2.41,1.71,1.74,1.9,,,,,,,,
May,,1.71,1.04,3.09,3.66,3.18,1.54,1.11,1.26,2.45,2.68,2.6,3.41,2.12,0.66,1.94,0.78,2.21,2.88,1.85,2.01,2.28,3.9,,,,,,,,
June,,0.08,1.22,0.33,3.08,0.15,3.67,3.56,2.47,1.31,0.62,1.64,1.67,1.94,1.26,3.18,3.02,2.08,0.62,1.14,0.22,2.93,0.15,,,,,,,,
July,,0.37,4.14,3.08,4.24,4.07,1.71,3.38,2.22,1.61,2.66,2.97,1.91,1.95,2.06,1.34,4.45,1.72,2.18,2.97,3.52,2.25,2,,,,,,,,
August,,2.04,3.19,2.27,3.94,2.26,2.88,4.95,3.44,2.5,3.1,2.82,1.01,0.73,1.9,3.88,0.62,1.54,3.84,2.48,0.18,4.31,3.5,,,,,,,,
September,,0.83,2.02,1.81,3.57,2.75,0.75,5.05,0.81,0.45,3.94,1.63,2.31,,1.69,4.3,1.75,2.4,2.82,1.13,1.43,0.75,2.29,,,,,,,,
October,,1.85,1.49,7.09,3.9,4.16,2.51,2.04,6.83,3.89,1.79,0.53,7.03,,2.38,5.03,1.94,3.61,3.73,7.34,3.96,1.35,3.75,,,,,,,,
November,,1.69,2.12,2.56,3.92,3.62,7.73,3.1,3.18,7.71,5.65,4.74,1.41,,4.89,7.18,4.6,1.71,4.43,5.78,8.25,4.06,1.83,,,,,,,,
December,,1.98,4.59,3.56,5.59,3.5,0.48,4.53,3.75,8.69,2.81,0.74,0.6,0.67,9.11,4.82,3.36,4.44,4.39,1.91,1.83,2.37,3.85,,,,,,,,
Total,,16.87,33.46,36.33,41.11,35.97,32.37,42.1,35.03,31.46,32.56,27.16,28.76,,34.19,41.59,32.62,39.42,30.38,35.63,31.56,32.03,29.92,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 gauge read 9am winter and summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Sept 2-3 Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Sept-Nov adjusted by neighbouring stations for loss presumably due to over sheltering by flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suspended due to war,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
