ILFORD-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ434860,Long,0.067025106,Lat,51.554666,Elevation,31,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,2.94,2.76,0.41,3.51,0.9,0.82,2.17,2.44,1.55,1.47,2.28,0.94,2.76,1.43,1.63,0.95,3.16,0.87,,1.02,1.23,0.86,0.96,1.13,2.84,2.9,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.31,0.7,2,2.03,2.54,0.74,0.77,1.94,0.08,0.1,1.41,3.77,0.4,2.02,2.62,2.85,1.2,0.31,0.82,1.47,0.2,1.18,0.08,1.52,1.16,3.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,2.12,1.77,3.56,0.69,2.91,1.31,0.67,2.66,1.32,0.76,0.89,1.99,0.2,0.58,0.16,1.76,1.26,0.03,2.08,0.21,1.48,1.5,1.72,0.28,1.03,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.06,2.05,0.82,0.94,1.08,1.48,2.4,1.79,2.65,1.01,2.16,1.55,2.78,1.16,3.65,1.65,0.92,1.11,2.08,3.3,2.05,0.65,1.62,3.03,1.25,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,0.93,1.42,1.93,2.65,1.48,3.4,1.86,0.38,0.4,1.04,0.59,1.42,3.29,1.34,1.14,1.3,1.42,1.55,3.04,2.5,3.56,1.79,0.37,1.33,1.08,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.55,0.45,1.35,1.2,2.07,1.48,1.67,1.55,1.35,0.34,0.93,0.48,3.12,0,2.97,1.9,2.13,0.77,0.91,1.03,0.74,2.97,1.3,3.06,3.08,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,1.44,1.8,1.59,4.07,1.28,3.11,5.8,2.26,3.57,0.14,2.5,2.14,2.55,4.26,2.44,2.51,1.48,2.57,1.76,2.27,2.25,1.74,1.11,0.79,2.37,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,4.06,1.89,1.18,2.81,3.69,3.83,1.14,2.01,1.81,0.95,1.74,1.7,2.36,2.64,1.1,3.5,2.51,2.32,3.86,4.02,2.3,0.42,1.71,2.39,0.35,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,1.69,1.25,0.66,1.77,1.01,1.49,3.81,0.74,2.84,1.62,1.76,1.1,2.22,1.49,2.96,3.65,0.56,0.67,2.66,1.56,1.97,2.52,1.05,2.37,2.15,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,1.72,3.37,1.13,1.67,2.33,2.29,1.17,0.76,0.9,0.5,0.84,4.72,2.96,2.39,2.24,1.12,3.49,3.56,0.97,0.65,4.71,1.35,1.05,2.16,1.44,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,1.46,2.46,2.08,2.15,3.77,1.22,1.76,1.19,0.49,1.78,1.28,1.8,2.69,0.95,3.77,1.85,1.44,4.63,3.36,2.08,0.85,0.95,1.84,2.86,2.8,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,2.44,0.64,5.01,4.41,2.23,0.7,1.64,2.43,1.6,0.79,2.84,1.74,2.31,2.31,0.47,2.93,2.17,6.06,1.51,0.55,0.35,0.32,3.89,2.25,1.46,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,22.72,20.56,21.72,27.9,25.29,21.87,24.86,20.15,18.56,10.5,19.22,23.35,27.64,20.57,25.15,25.97,21.74,24.45,,20.66,21.69,16.25,16.7,23.17,21.01,28.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
