"MASHAM MOOR BROWN BECK",,,,,,,,,,,,
Grid ref,SE127833,Long,-1.806612,Lat,54.245235,,,,,,,
Station no,RR4564,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.98,2.13,1.67,,
February,,,,,,,,2.61,2.69,1.04,,
March,,,,,,,,3.07,3.83,3.42,,
April,,,,,,,,1.27,1.77,3.28,,
May,,,,,,,,3.77,3.30,2.70,,
June,,,,,,,,5.56,1.89,3.99,,
July,,,,,,,,2.12,3.17,2.41,,
August,,,,,,,,2.91,2.15,5.21,,
September,,,,,,,,0.45,5.07,1.74,,
October,,,,,,,,6.60,1.63,5.32,,
November,,,,,,,,4.36,3.98,0.80,,
December,,,,,,,,4.15,1.68,3.33,,
Total,,,,,,,,37.85,33.29,34.91,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.85,33.29,34.91,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
