BRANSDALE NO. 5,,,,,,,,,,
Grid ref,SE620973,Long,-1.047,Lat,54.367,Elevation,652,ft,,
Station no,3465/1,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,2.12,3.87,5.52,5.17,3.17,7.46,
February,,,,2.11,4.18,4.76,5.65,2.17,2.24,
March,,,,3.58,0.98,1.65,4.74,0.31,4.34,
April,,,,4.54,4.47,2.38,2.86,0.31,1.26,
May,,,,1.38,1.78,1.24,2.45,3.32,3.10,
June,,,,1.56,2.78,2.84,1.96,2.88,2.61,
July,,,,3.30,0.37,5.04,1.60,5.72,3.18,
August,,,,3.43,2.98,2.75,1.66,4.06,3.12,
September,,,,1.80,5.92,3.05,1.61,3.31,2.31,
October,,,,3.89,4.42,2.04,2.79,5.16,7.35,
November,,,,3.04,5.64,4.73,3.71,4.12,3.46,
December,,,,6.35,3.96,2.57,7.15,6.05,2.79,
Total,,,,37.10,41.35,38.57,41.35,40.58,43.22,
,,,,,,,,,,
TYRain_1931-1940_20_pt1/022,,,,,,,,,,
,,,,,,,,,,
"# No detailed location information. Grid reference selected to match elevation, but just an indicative value.",,,,,,,,,,
