"MOSELEY PROSPECT ROAD",,,,,,,,,,,,
Grid ref,SP079823,Long,-1.885216,Lat,52.438616,,,,,,,
Station no,RR4610,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.44,1.01,2.21,3.35,1.09,3.95,0.87,0.79,1.34,,
February,,1.80,1.80,1.37,3.90,0.64,2.12,0.92,1.23,0.71,,
March,,1.93,1.71,4.89,1.56,3.44,1.34,0.87,3.20,2.64,,
April,,2.02,2.52,1.46,0.93,2.32,1.49,1.83,2.54,2.03,,
May,,1.74,2.68,2.50,2.90,0.33,2.62,4.30,2.75,1.62,,
June,,2.38,2.48,1.71,0.39,2.56,2.94,2.92,2.55,3.45,,
July,,2.90,1.44,2.53,3.31,1.46,1.03,2.67,2.19,3.27,,
August,3.25,,5.66,4.46,,4.95,0.81,,-999.00,,,
September,0.91,,1.85,3.00,,1.57,1.03,-999.00,,5.23,,
October,3.14,1.98,2.49,6.63,0.60,1.58,5.27,5.70,2.30,3.80,,
November,2.60,1.07,2.35,1.76,1.45,2.72,3.22,2.24,2.12,0.90,,
December,4.94,4.76,1.80,1.88,2.20,0.89,1.76,3.75,2.28,4.86,,
Total,,25.63,27.79,34.40,24.51,23.55,27.58,29.26,26.51,29.85,,
Calc annual,14.84,22.02,27.79,34.40,20.59,23.55,27.58,26.07,21.95,29.85,,
Difference,NaN,3.61,-0.00,-0.00,3.92,0.00,0.00,3.19,4.56,0.00,,
