BRIGHTON-FULKING,,,,,,,,,,
Grid ref,TQ247115,Long,-0.22844842,Lat,50.889535,Elevation,150,ft,,
Station no,RR7708,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,3.83,3.32,6.83,0.89,8.73,3.04,
February,,,,2.53,1.96,2.53,3.96,1.96,2.72,
March,,,,2.74,0.81,0.94,3.05,3.13,1.83,
April,,,,0.77,2.09,1.34,2.72,2.76,3.64,
May,,,,1.77,,1.34,1.24,2.54,4.48,3.75
June,,,,2.67,3.33,3.35,2.78,1.55,1.77,4.44
July,,,,2.54,1.03,3.78,0.65,3.56,0.96,4.64
August,,,,4.36,2.12,1.9,4.68,2.4,4.58,6.7
September,,,,3.44,4.38,2.2,4.73,1.6,2.39,4.72
October,,,,5.3,4.88,5.54,1.15,4.93,,1.1
November,,,,2.77,3.36,5.89,3.96,8.95,,1.33
December,,,5.27,0.75,2.81,2.23,9.02,3.35,,0.82
Total,,,,33.47,,37.87,38.83,45.46,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1875 Feb IDR,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
