CRAWFORD (CAMPS RES.) New Gauge +A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS997226,Long,-3.588817,Lat,55.486877,Elevation,969,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5163/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.48,8.35,6.94,7.41,2.09,4.69,9.32,7.29,4.69,1.74,1.2,4.39,6.15,4.66,2.92,5.29,6.34,6.95,5.15,2.72,4.26,4.85,1.61,4.29,3.16,2.56,6.26,4.17,2.32,4.11
February,3.09,0.35,3.12,0.26,4.55,3.16,3.79,2.6,6.45,1.41,5.16,1.49,4.62,1.51,5.43,2.39,1.02,4.54,4.25,4.86,3.49,1.27,1.51,2.39,1.04,1.37,3.32,3.39,1.4,5.08
March,0.99,3.06,2.92,3.07,1.63,2.01,1.29,3.52,4.49,4.59,2.27,2.24,1.54,0.57,2.83,2.48,3.09,4.2,1.62,5.42,2.45,2.12,0.75,2.73,1.72,2.73,3.57,1.41,3.24,2.05
April,2.82,3.58,1.66,4.45,4.28,1.3,1.82,0.57,1.65,3.04,1.64,2.45,2.49,2.35,1.87,1.03,7.74,3.66,4.32,4.19,3.59,2.36,2.98,0.93,1.65,1.19,1.9,1.65,3.73,4.26
May,3.42,2.96,3.87,3.86,0.95,0.92,1.81,4.09,0.64,1,4.44,3.5,4.6,2.25,5.33,0.86,3.9,1.7,1.93,1.82,2.6,2.29,2.33,5.71,2.87,2.12,3.07,2.96,1.29,2.64
June,6.15,1.77,2.32,2.18,3.81,3.72,2.25,5.89,2.8,1.22,1.6,1.17,3.87,3.86,3.67,3.23,3.64,6.29,1.25,3.28,2.13,2.56,2.03,3.4,1.68,3.57,1.59,3.01,3.23,2.43
July,3.85,4.7,4.13,2.62,1.27,4.75,4.3,5.3,5.31,6.24,3.34,2.94,2.42,2.97,3.45,4.18,3.54,2.86,1.6,4.5,2.21,2.77,6.23,3.78,3.54,4.51,3.47,6.42,4.94,3.51
August,2.84,1.09,2.23,5.26,2.44,1.62,3.46,3.28,1.3,1.9,4.93,5.44,4.78,3.08,2.12,3.52,0.05,6.27,3.37,5.58,6.34,3.26,3.86,4.95,1.83,7.83,4.65,4.7,1.07,3.9
September,1.12,5.03,2.23,5.16,5.14,3.08,2.29,3.76,1.98,4.59,2.07,4.89,4.11,4.62,7.53,6.43,4.17,5.39,2.46,11.35,3.97,2.67,4.61,6.38,4.41,4.39,3.15,5.01,1.3,2.99
October,3.95,6.92,4.25,6.6,6.87,4.98,5.43,8.16,2.59,4.48,3.6,5.42,8.75,4.18,4.41,0.68,1.84,3.33,6.62,4.08,0.76,4.6,3.86,9.99,3.54,3.6,4.16,3.39,6.49,2.87
November,8.77,3.71,2.14,1.72,5.66,3.9,0.57,10.25,7.94,5.66,4.59,1.65,2.23,7.93,0.32,7.24,7.18,3.22,4.58,4.66,7.47,3.71,5.63,8.45,2.28,1.85,2.15,1.35,8.69,7.94
December,4.19,10.29,0.72,8.03,2.35,6.05,3.12,4.04,1.99,5.1,2.6,7.75,2.59,5.78,3.64,3.88,2.98,7.9,8.21,1.8,6.92,4.11,4.46,5.39,4.85,5.85,4.58,4.72,7.1,4.59
Total,44.67,51.81,36.53,50.62,41.04,40.18,39.45,58.75,41.83,40.97,37.44,43.33,48.15,43.76,43.52,41.21,45.49,56.31,45.36,54.26,46.19,36.57,39.86,58.39,32.57,41.57,41.87,42.18,44.8,46.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan corr for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5163/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,650696,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
