CRAWFORD (CAMPS RES) Gauge J,,,,,,,,,,
Grid ref,NT 03495 22183,Long,-3.528636,Lat,55.483892,Elevation,1705,ft,,
Station no,5162/9,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,6.35,,,,
February,,,,,,2.6,,,,
March,,,,,3.35,2.9,,,,
April,,,,,2.39,1.27,8.05,,,
May,,,,,5.64,1.52,3.98,,,
June,,,,,4.63,3.77,4.82,,,
July,,,,,3.92,5.07,3.83,,,
August,,,,,2.67,5.27,0.04,,,
September,,,,,7.42,7.56,5,,,
October,,,,,5.56,1.24,2.17,,,
November,,,,,0.65,8.67,7.02,,,
December,,,,,4.05,4.08,3.05,,,
Total,,,,,,50.3,,,,
,,,,,,,,,,
1948 G abandoned as unrepresentative,,,,,,,,,,
,,,,,,,,,,
Station no,5162/9,,,,,,,,,
Midas,,,,,,,,,,
Hyd stn,,,,,,,,,,
