EWDEN VALLEY (BROOMHEAD RESERVOIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK272954,Long,-1.59186,Lat,53.454659,Elevation,675,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3139/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,1.9,2.9,3.12,5.52,5.16,4.95,5.17,2.02,2.22,4.85,4.6,2.32,8.52,1.95,4.82,5.14,3.99,3.12,3.69,2.51,4.34,6.5,5.59,5.99,
February,,,,,,,5.94,0.52,3.25,2.91,3.5,0.2,3.53,6.61,1.91,6.34,3.22,1.35,5.1,0.73,1.21,4.82,0.7,6.31,0.44,5.8,4.25,7.07,2.25,2.71,
March,,,,,,,5.24,3.15,1.51,6.36,2.87,2.35,2.65,2.26,0.91,1.24,1.63,3.58,3.43,0.28,3.26,0.3,2.87,3.09,4.48,1.7,3.09,4.14,0.5,3.4,
April,,,,,,,1.59,2.17,1.48,1.68,5.93,1.33,4.7,2.77,2.23,4.59,1.83,4.38,1.67,1.37,4.33,5.24,4.86,1.11,3.19,3.12,1.88,2.69,0.26,2.2,
May,,,,,,,2.43,1.66,2.24,1.54,4.35,1.56,0.8,4.29,4.14,4.26,2.91,1.71,1.9,2,1.94,3.3,7.01,2.45,2.18,0.59,1.59,3.32,3.02,2.44,
June,,,,,,,2.28,1.91,0.76,0.4,3.31,0.37,1.23,0.95,1.73,0.13,3.53,4.17,4.21,1.35,1.84,5.62,0.61,2.11,1.5,5.24,4.23,0.84,2.6,2.49,
July,,,,,,,1.31,1.06,2.67,4.18,6.18,0.9,4.27,3.16,3.76,1.47,3.18,2.64,1.21,1.98,7.23,3.87,4.51,2.23,1.7,1.48,2.91,3.09,3.68,6.16,
August,,,,,,,1.1,5.04,0.96,3.22,1.6,5.28,7.58,3.42,3.26,2.7,2.99,4.44,3.74,2.4,3.38,6.97,2.34,0.56,1.62,2.45,1.24,0.83,2.76,2.21,
September,,,,,,,1.52,1.26,8.13,2.36,1.22,0.69,3.55,2.88,4.03,2.99,1.39,4.61,0.4,1.4,5.41,6.07,2.38,2.85,2.91,5.08,3.68,1.77,2.74,1.93,
October,,,,,,,5.01,5.04,1.88,3.87,2.43,2.64,1.25,2.79,5.41,4.69,4.56,3.39,6,3.52,3.65,1.35,5.87,5.57,3.69,7.38,4.56,3.93,7.63,4.32,
November,,,,,,,4.59,2.24,1.4,2.8,1.49,2.15,2.04,6.14,2.81,3.46,4.61,4.41,7.01,7.02,4.03,4.52,3.73,2.46,2.67,7.15,5.46,2.57,5.21,7.59,
December,,,,,,,3.39,1.91,5.14,5.31,4.21,5.75,4.83,2.98,3.96,4.12,1.54,3.56,3.37,8.74,3.06,1.77,1.68,0.65,5.35,4.05,4.55,4.25,4.37,3.68,
Total,,,,,,,36.3,28.86,32.54,40.15,42.25,28.17,41.6,40.27,36.37,40.84,35.99,40.56,46.56,32.74,44.16,48.97,40.55,32.51,33.42,46.55,41.78,41,40.61,45.12,
