"EWDEN (BROOMHEAD RESERVOIR, CHECK)",,,,,,,,,,,,
Grid ref,SK272954,Long,-1.591860,Lat,53.454659,,,,,,,
Station no,3139/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,4.07,4.02,6.68,,
February,,,,,,,,5.83,0.11,3.01,,
March,,,,,,,,2.59,1.57,2.76,,
April,,,,,,,,0.90,4.33,1.97,,
May,,,,,,,,3.58,0.97,2.17,,
June,,,,,,,,5.03,1.84,1.41,,
July,,,,,,,,4.99,1.75,3.52,,
August,,,,,,,,2.29,1.02,3.37,,
September,,,,,,,,3.67,0.05,3.99,,
October,,,,,,,,3.15,2.86,8.27,,
November,,,,,,,,0.87,5.21,5.56,,
December,,,,,,,,4.51,6.66,5.05,,
Total,,,,,,,,41.48,30.39,47.76,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.48,30.39,47.76,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,,
