EWDEN (BROOMHEAD RES) check gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK268961,Long,-1.597824,Lat,53.460971,Elevation,484,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3139/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.38,4.34,6.11,4.98,5.71,3.9,4.19,3.68,5.21,5.19,3.7,5.06,4.02,8.77,2.07,1.91,3.93,5,0.91,3.32,2.59,6.77,2.76,4.4,4.18,6.72
February,,,,,5.68,4.15,6.49,1.83,2.48,2.72,4.3,1.14,2.26,2.18,4.04,5.2,3.6,3.15,2.21,7.14,4.84,1.19,2.08,3.52,3.13,1.66,3.55,5.74,0.15,3.21
March,,,,,1.62,2.9,3.74,0.36,3.25,2.75,6.13,2.21,1.33,0.64,0.99,1.98,6.82,1.43,1.42,1.7,4.88,2.29,2.4,2.68,3.7,1.77,2.77,2.93,1.64,2.93
April,,,,,3.09,1.82,2.53,0.22,2.03,3.71,2.44,1.93,2.32,2.7,2.22,1.67,4.02,2.22,3.49,4.35,1.95,1.8,2.84,0.56,0.78,3,0.28,0.97,4.53,2.12
May,,,,,0.59,1.44,3.12,2.87,2.35,0.9,2.86,4.08,3.23,3.66,3.97,2.83,2.68,1.7,2.29,2.24,4.25,2.44,2.86,4.17,4.13,0.87,1.4,3.63,0.98,2.2
June,,,,,5.07,4.14,0.77,2.35,2.46,0.58,0.24,1.27,1.63,1.93,3.32,4.15,2.85,4.78,0.6,0.99,0.99,1.84,2.83,2.08,3.26,3.37,1.65,5.25,2.03,1.43
July,,,,,1.38,2.77,3.07,3.5,6.24,2.69,2.41,2.55,1.16,3.02,1.87,2.93,2.73,1.37,4.48,2.03,1.59,1.8,3.13,2.28,0.95,6.83,2.99,5.08,1.85,3.62
August,,,,,2.48,1.23,0.77,2.57,2.25,0.49,3.4,4.02,3.26,2.84,3.16,5.12,0.46,5.54,2.33,4.23,4.63,2.45,3.66,6.72,0.57,5.89,6.09,2.38,1.11,3.69
September,,,,,5,3.33,1.74,2.69,1.88,2.46,0.35,1.8,4.42,4.79,1.31,6.24,1.32,1.94,1.55,4.41,1.79,4.02,1.83,3.2,1.05,3.75,4.39,3.72,0.05,3.84
October,,,,,6.73,4.02,3.77,7.01,4.38,5.16,4.62,3.06,2.32,3.58,5.89,1.99,0.77,1.54,3.72,1.76,1.14,6.22,1.99,4.88,2.75,2.32,2.98,3.31,3.01,8.63
November,,,,,6.58,4.92,2.45,4.83,7.11,8.63,4.16,1.58,3.1,7.31,0.51,8.21,3.97,1.26,6.3,6.26,9.51,2.14,2.73,7.31,2.42,1.58,2.89,0.9,5.43,5.71
December,,,,,4.05,3.98,4.17,4.12,3.16,3.75,1.61,2.85,1.77,3.94,2.95,4.04,4.14,4.11,6.7,1.99,5.9,3.02,1.4,5.81,5.08,4.99,4.62,4.74,6.96,5.32
Total,,,,,44.65,39.04,38.73,37.33,43.3,37.74,36.71,30.17,32.01,41.78,33.93,49.42,37.38,37.81,37.16,39.01,45.4,34.21,28.66,46.53,30.41,42.8,36.37,43.05,31.92,49.42
