BEACONSFIELD-NORFOLK-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU945901,Long,-0.6369424,Lat,51.601822,Elevation,360,ft,,,,,,,,,,,,
Station no,RR8141,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.77,1.85,0.68,2.18,1.14,3.59,3.76,,,,,,
February,,,,,,,,1.55,1.33,0.3,3.85,1.86,2.18,0.77,,,,,,
March,,,,,,,,1.29,3.37,2.78,0.91,1.49,3.79,2.28,,,,,,
April,,,,,,,,3.13,3,2.2,1.68,1.47,0.03,2.78,,,,,,
May,,,,,,,,1.66,1.89,1.33,1.84,2.02,1.76,1.66,,,,,,
June,,,,,,,,2.16,0.89,3.79,3.21,2.27,2.68,0.38,,,,,,
July,,,,,,,,2.49,3.43,2.6,2.19,0.15,1.73,0.72,,,,,,
August,,,,,,,,1.92,2.99,3.39,2.65,0.76,4.84,,,,,,,
September,,,,,,,,0.45,1.69,2.24,0.31,1.51,2.75,,,,,,,
October,,,,,,,,4.25,1.85,4.41,2.27,2.94,2.56,,,,,,,
November,,,,,,,,2.25,0.78,0.66,3.02,3.29,2.18,,,,,,,
December,,,,,,,,4,2.42,2.84,5.09,6.23,3.37,,,,,,,
Total,,,,,,,,25.92,25.49,27.22,29.2,25.13,31.46,,,,,,,
