SUNBURY (THAMES ST),,,,,,,,,,,,
Grid ref,TQ105683,Long,-0.412834,Lat,51.402976,,,,,,,
Station no,831/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.11,1.68,0.72,0.99,,,,,,,,
February,5.14,0.74,1.02,1.74,,,,,,,,
March,3.03,2.72,0.40,2.03,,,,,,,,
April,2.58,1.35,2.07,0.31,,,,,,,,
May,2.15,2.31,1.23,1.79,,,,,,,,
June,0.94,1.95,1.20,4.93,,,,,,,,
July,1.36,0.53,3.50,2.04,,,,,,,,
August,3.10,2.56,1.30,3.32,,,,,,,,
September,2.04,3.26,1.89,1.78,,,,,,,,
October,0.71,2.33,2.77,1.73,,,,,,,,
November,5.02,2.52,0.86,3.57,,,,,,,,
December,1.40,2.00,0.55,2.05,,,,,,,,
Total,30.58,23.95,17.51,26.28,,,,,,,,
Calc annual,30.58,23.95,17.51,26.28,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
