STRATTON-ST-MARY-RECTORY,,,,,,,,,,
Grid ref,TM195923,Long,1.2312778,Lat,52.484442,Elevation,140,ft,,
Station no,RR6657,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,2.55,2.15,3.11,1.93,1.3
February,,,,,,1.12,2.88,2.79,1.42,3.49
March,,,,,,0.47,2.63,2.46,1.32,1.1
April,,,,,,1.17,2.13,2.11,1.07,2.67
May,,,,,,2.61,0.77,2.27,6.83,2.51
June,,,,,,1.83,2.02,2.67,1.07,3.56
July,,,,,,4.75,1.61,2.89,1.84,5.69
August,,,,,,0.85,1.65,4.25,4.64,6.25
September,,,,,,2.36,4.99,2.66,2.49,3.65
October,,,,,,3.77,1.17,1.87,2.16,1.31
November,,,,,,5.99,2.78,3.14,6.73,2.24
December,,,,,,2.33,3.74,2.57,1.9,0.5
Total,,,,,,29.8,28.52,32.79,33.4,34.27
