"HENGRAVE HALL",,,,,,,,,,,,
Grid ref,TL825686,Long,0.674172,Lat,52.285230,,,,,,,
Station no,1393,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.34,2.12,,1.47,1.31,,,,,,,
February,2.89,1.00,,1.96,2.25,,,,,,,
March,3.20,2.46,,2.04,1.60,,,,,,,
April,3.71,1.03,,0.40,0.25,,,,,,,
May,2.27,1.29,,2.06,1.54,,,,,,,
June,1.45,1.84,,2.40,2.34,,,,,,,
July,1.49,1.30,,3.23,0.09,,,,,,,
August,3.17,2.79,,4.69,0.87,,,,,,,
September,2.98,3.34,,1.80,1.68,,,,,,,
October,0.50,2.39,,1.78,3.73,,,,,,,
November,3.56,2.91,,3.18,0.80,,,,,,,
December,1.56,1.55,,2.30,1.46,,,,,,,
Total,29.12,24.02,,27.31,17.92,,,,,,,
Calc annual,29.12,24.02,0.00,27.31,17.92,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
