HELENSBURGH ROSEMOUNT,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 29632 82665,Long,-4.734018,Lat,56.006559,Elevation,75,ft,,,,,,,,,,,,
Station no,RR8553,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,4.93,5.1,8.72,,,,,,,,,
February,,,,,,,,,1.32,3.42,1.42,,,,,,,,,
March,,,,,,,,,3.3,2.24,4.34,,,,,,,,,
April,,,,,,,,,2.59,3.79,1.7,,,,,,,,,
May,,,,,,,,,4.02,3.39,2.29,,,,,,,,,
June,,,,,,,,,3.04,1.5,,,,,,,,,,
July,,,,,,,,,4.74,2.05,,,,,,,,,,
August,,,,,,,,,7.82,8.75,,,,,,,,,,
September,,,,,,,,,1.86,3.35,,,,,,,,,,
October,,,,,,,,1.83,2.2,4.13,,,,,,,,,,
November,,,,,,,,2.9,7.78,2.34,,,,,,,,,,
December,,,,,,,,4.62,4.55,4.27,,,,,,,,,,
Total,,,,,,,,,48.15,44.33,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
G moved June 1890 to Dalglenan,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8553,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
