HELENSBURGH GLENAN & DALGLENAN VICTORIA ROAD,,,,,,,,,,
Grid ref,NS 29325 82634,Long,-4.738914,Lat,56.006177,Elevation,70,ft,,
Station no,RR8553,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,4.63,6.43,2.36,6.76,2.19,,,,
February,,1.75,5.28,6.06,11.11,0.49,,,,
March,,3.93,2.25,2.36,3.51,3.19,,,,
April,,2.36,1.47,2.09,1.34,2.48,,,,
May,,2.18,5.86,2.96,2.25,0.52,,,,
June,5.44,1.6,4.58,2.12,2.64,,,,,
July,3.8,1.37,2.92,4.68,3.17,,,,,
August,3.96,5.96,7.23,5.08,4.66,,,,,
September,7.08,8.38,5.79,4.04,0.17,,,,,
October,4.47,5.42,3.95,6.97,3.52,,,,,
November,9.57,5.8,5.44,4.29,3.63,,,,,
December,1.21,8.89,3.03,5.03,4.57,,,,,
Total,,52.27,54.23,48.04,47.33,,,,,
,,,,,,,,,,
,,,,,,,,,,
G  Moved to Victoria Rd Jun 1895,,,,,,,,,,
,,,,,,,,,,
Station no,RR8553,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
