HELENSBURGH GLENAN & DALGLENAN VICTORIA ROAD,,,,,,,,,,
Grid ref,NS 29939 82884,Long,-4.72924,Lat,56.008633,Elevation,90,ft,,
Station no,RR8553,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,2.8,1.53,,
February,,,,,,,2.66,3.12,,
March,,,,,,,5.09,5.31,,
April,,,,,,,2.37,1.8,,
May,,,,,,,0.7,2.32,,
June,,,,,,2.57,3.22,6.69,,
July,,,,,,3.44,4.44,2.57,,
August,,,,,,5.68,2.24,5.63,,
September,,,,,,1.39,4.25,4.37,,
October,,,,,,3.53,2.75,2.92,,
November,,,,,,5.48,1.72,2.6,,
December,,,,,,5.74,5.27,5.08,,
Total,,,,,,,37.51,43.94,,
,,,,,,,,,,
G  Moved from Glenan Jun 1895,,,,,,,,,,
,,,,,,,,,,
Station no,RR8553,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
