CALLINGTON-MOUNT-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX386697,Long,-4.2765,Lat,50.5053,Elevation,400,ft,,,,,,,,,,,,
Station no,RR7249,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,7.39,2.75,9.33,1.9,2.61,2.49,6.54,1.65,5.36,10.2,1.37,4.04,,,,
February,,,,,8.92,1.62,5.91,2.8,3.62,0.77,6.39,2.93,5.88,2.04,5.64,8.48,,,,
March,,,,,2.94,7.63,2,1.33,5.07,6.75,1.19,3.74,7.12,5.29,7.78,0.96,,,,
April,,,,,2.73,3.92,1.1,6.45,3.54,3.06,3.04,2.22,0.26,6.01,2.24,1.32,,,,
May,,,,,3.51,0.83,4.2,4.51,2.46,1.73,2.78,2.05,2.56,4.93,1.91,3.45,,,,
June,,,,,2.04,3.11,1.63,3.16,0.94,4.14,2.51,4.05,7.2,1.49,2.1,2.39,,,,
July,,,,,7.31,0.6,1.64,2.1,3.2,3.78,4.56,1.35,3.74,0.23,7.04,5.22,,,,
August,,,,,3.73,6.79,4.21,2.28,5.01,2.12,5.92,4.82,10.1,1.16,3.55,2.16,,,,
September,,,,,3.5,2.19,1.18,1.9,3.58,1.42,0.35,2.53,1.44,3.35,3.33,2.51,,,,
October,,,,,3.13,2.06,8.15,8.39,2.02,9.84,6.58,4.76,5.28,5.63,3.17,5.66,,,,
November,,,,,3.76,8.07,3.54,4.35,2.12,1.82,6.3,6.68,2.88,6.6,5,3.68,,,,
December,,,,,5.82,2.4,4.25,7.79,6.02,8.08,9.3,13.52,7.84,3.39,10.06,10.9,,,,
Total,,,,,54.78,41.97,47.14,46.96,40.19,46,55.46,50.3,59.66,50.32,53.19,50.77,,,,
