GLASGOW (LINN PARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS582592,Long,-4.263962,Lat,55.805201,Elevation,164,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5204/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.24,,4.79,4.35,7.76,1.4,3.87,,1.68,2.36,4.65,1.67,4.64,3.5,5.27,4.61,2.75,1.36,5.22,4.64,3.37,2.82,4.71,3.93,5.77,3.59,1.8,5.16,4.75,1.64,5.16,2.73,2.21,5.82,4.66,1.38,3.56
February,,,,,0.5,,3.19,2.14,3.57,1.78,0.18,,0,3.72,0.38,3.07,2.05,4.81,1.47,4.53,1.64,3.41,1.34,4.7,1.55,5.1,2.89,1.62,3.63,3.78,4.06,2.98,1.33,1.31,3.86,2.6,1.31,3.17,3.4,1.58,4.28
March,,,,,0.94,,1.8,3.11,2.55,0.56,1.36,,1.31,2.86,2.68,1.98,2.73,1.29,2.7,3.2,5.25,3.77,2.7,2.31,0.65,2.77,2.18,4.12,2.46,1.21,2.82,3.2,2.69,0.9,2.72,1.88,1.85,3.53,1.32,1.66,1.72
April,,,,,2.16,,2.38,2.29,1.18,1.63,0.61,,3.11,1.4,2.99,2.98,1.06,1.98,0.29,1.37,2.44,1.8,2.71,2.53,2.57,2.14,1.17,5.24,2.63,3.46,3.71,2.65,2.02,1.63,1.32,1.45,0.96,1.89,1.18,2.77,2.94
May,,,,,4.22,,2.78,2.05,2.11,2.98,1.13,,2.72,2.52,2.23,0.71,1.68,1.87,3.8,0.73,0.69,3.45,2.8,3.33,2.38,4.79,1.01,4.2,1.1,2.04,1.5,2,1.9,2.3,3.49,3.4,2.14,2.34,2.69,1.44,2.79
June,,,,,1.81,,2.26,3.86,4.66,2.72,2.58,,0.73,2.29,2.48,5.25,1.78,1.91,4.18,2.25,1.6,0.57,1.63,3.57,3.08,4.59,2.72,2.89,5.59,0.96,1.87,2.26,2.89,1.42,3.03,1.57,2.94,1.96,3.3,3.1,1.73
July,,,,,3.45,,3.54,4.33,2.36,2.74,3.9,,3.39,4.08,2.06,1.39,4.87,3.34,4.18,3.92,4.63,2.98,2.22,2.88,2.81,3.22,3.89,3.28,3.06,2.17,5.23,3.65,2.27,4.22,3.55,1.69,4.5,3.74,5.12,4.14,3.62
August,,,,,2.93,,2.47,5.67,3.34,4.86,4.36,,1.26,2.73,5.64,1.79,2.72,3.33,2.43,2.72,1.9,4.28,4.01,6.74,3.73,1.66,2.67,0.02,6.88,4.08,5.09,4.71,3.47,3.05,5.53,1.43,4.53,3.78,5.36,0.66,3.1
September,,,,,4.96,,2.9,6.3,3.03,1.06,3.09,,4.57,1.09,4.03,5.76,4.16,2.74,2.04,2.03,3.96,1.28,5.44,2.66,5.2,4.79,6.73,4.78,6.54,1.1,8.5,3.24,2.89,3.43,4.85,3.56,4.78,2.84,3.99,0.91,2.87
October,,,,,3.12,,5.09,5.62,5.67,4.99,2.49,,5.26,3.35,6.29,7.67,3.38,3.81,7.91,2.41,4.51,3.26,4.47,6.4,4.48,5.2,0.71,2.09,3.65,4.83,3.66,0.93,5.05,2.41,9.33,2.58,3.48,3.95,3.44,4.87,2.91
