"GLASGOW (LINN PARK)",,,,,,,,,,,,
Grid ref,NS582592,Long,-4.263962,Lat,55.805201,,,,,,,
Station no,5204/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.16,4.75,1.64,5.16,2.73,2.21,5.82,4.66,1.38,3.56,,
February,2.98,1.33,1.31,3.86,2.60,1.31,3.17,3.40,1.58,4.28,,
March,3.20,2.69,0.90,2.72,1.88,1.85,3.53,1.32,1.66,1.72,,
April,2.65,2.02,1.63,1.32,1.45,0.96,1.89,1.18,2.77,2.94,,
May,2.00,1.90,2.30,3.49,3.40,2.14,2.34,2.69,1.44,2.79,,
June,2.26,2.89,1.42,3.03,1.57,2.94,1.96,3.30,3.10,1.73,,
July,3.65,2.27,4.22,3.55,1.69,4.50,3.74,5.12,4.14,3.62,,
August,4.71,3.47,3.05,5.53,1.43,4.53,3.78,5.36,0.66,3.10,,
September,3.24,2.89,3.43,4.85,3.56,4.78,2.84,3.99,0.91,2.87,,
October,0.93,5.05,2.41,9.33,2.58,3.48,3.95,3.44,4.87,2.91,,
November,6.78,2.44,6.38,6.49,1.57,0.99,1.64,1.65,4.33,4.89,,
December,6.68,3.78,4.78,5.06,6.35,5.27,3.88,5.34,7.04,5.02,,
Total,44.24,35.48,33.47,54.39,30.81,34.96,38.54,41.45,33.88,39.43,,
Calc annual,44.24,35.48,33.47,54.39,30.81,34.96,38.54,41.45,33.88,39.43,,
Difference,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,,
