"GLENELG MANSE",,,,,,,,,,,,
Grid ref,NG829197,Long,-5.597191,Lat,57.216432,,,,,,,
Station no,5717,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.70,4.41,6.19,8.45,7.88,5.80,9.24,6.35,7.49,6.23,,
February,2.74,3.20,2.66,8.92,4.73,7.66,5.06,9.25,6.22,3.28,,
March,1.41,3.70,8.24,9.57,3.30,6.83,5.64,6.82,5.69,1.12,,
April,6.13,4.67,2.61,3.95,7.39,1.79,4.44,3.02,2.81,3.61,,
May,3.59,0.75,4.79,3.10,3.86,4.21,3.52,3.53,3.58,3.69,,
June,2.55,3.55,1.50,3.68,3.45,2.11,1.72,6.04,4.83,0.83,,
July,4.77,3.72,4.15,6.34,3.89,4.17,7.27,2.73,2.85,6.45,,
August,5.04,5.96,4.81,9.56,7.71,6.34,4.87,7.24,5.55,4.70,,
September,6.75,4.16,6.03,4.81,5.93,8.39,4.84,2.95,8.31,2.99,,
October,8.45,8.44,6.88,8.55,5.17,6.31,6.65,3.29,1.38,9.06,,
November,4.28,5.16,2.59,7.68,4.86,5.08,6.78,5.96,4.60,5.80,,
December,13.67,8.23,6.78,4.74,6.94,6.41,8.32,7.72,7.71,7.20,,
Total,69.08,55.95,57.23,79.35,65.11,65.10,68.35,64.90,61.02,54.96,,
Calc annual,69.08,55.95,57.23,79.35,65.11,65.10,68.35,64.90,61.02,54.96,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
