SOUTHAMPTON-COMMON-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU423159,Long,-1.399326,Lat,50.940997,Elevation,193,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,2.35,3.5,0.83,6.82,0.67,1.22,0.74,2.5,1.11,3.65,5.24,0.76,4.63,1.68,1.5,2.71,5,3.67,3.43,4.75,1.57,2.85,4.25,5.43,2.23,4.92,1.52,4.51,2.06,3.01,1.93,2.59,0.71,5.51,6.17,3.57,5.64,3.15,3.7,3.35,5.82,2.45,1.83,2.92,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,1.55,2.8,0.55,2.55,1.33,1.1,0.12,3.03,1.75,2.47,1.37,4.92,5.59,5.46,1.18,0.96,3.03,0.8,0.34,3.52,6.2,0.33,4.26,1.97,4.08,2.22,1.1,1.38,2.11,0.1,3.5,0.06,3.46,3,5.26,0.62,1.33,3.36,2.8,0.67,1.08,0.43,2.28,2.85,1.66,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,3.48,0.95,2.8,0.98,0.67,2.27,2.99,0.66,2.23,3.72,3.4,4.52,0.82,3.67,3,0.86,5.37,2.13,1.22,2.34,2.06,1.35,0.44,0.59,3.16,3.3,0.09,1.4,0.77,1.45,3.41,3.07,0.87,2.25,3.62,0.25,1.29,3.17,3.37,2.65,0.56,0.18,1.01,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,2.99,1.02,1.39,0.7,3.85,1.7,0.99,1.98,1.93,0.11,3.15,1.2,1.64,0.56,2.45,1.73,2.39,2.93,0.91,3.26,3.11,3.24,2.33,3.37,1.14,1.67,1.01,2.64,2.79,2.76,1.19,1.88,3,1.9,2.13,0.01,1.74,1.24,2.5,2.11,0.82,1.5,1,2.64,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,2.45,2.17,0.44,1.92,2.55,1.48,1.15,1.33,1.72,1.26,3.56,1.16,3.65,1.17,1.9,0.5,0.33,1.31,1.38,0.92,1.61,2.02,3.8,1.43,0.72,1.04,1.85,1.94,2.81,5.45,1.9,0.71,1,0.63,2.82,1.85,1.15,0.54,2.04,2.94,3.15,0.32,2.33,4.34,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,3.5,1.03,2.38,1.48,1.4,0.45,4.4,3.64,1.71,4.27,0.56,0.31,1.58,1.59,4.3,0.5,0.34,2.26,0.09,1.4,0.4,2.75,0,2.86,2.4,2.34,1.38,0.58,2.84,1.91,1.8,1.16,4.43,2.66,1.27,0.5,1.43,0.28,1.67,0.41,1.57,2.26,2.41,3.53,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,3.1,1.39,0.2,0.83,1.11,1.3,2.41,1.63,0.15,2.22,1.08,3.5,4.1,1,4.36,4.87,1.84,5.96,0.7,4.02,0.84,3.42,2.82,1.46,2.5,1.62,1.82,2.3,3.56,2.88,2.1,1.03,2.06,4.13,1.35,2.67,4.59,3.45,2.04,1.78,2.07,2.8,2.17,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,3.16,1.84,2.95,1.19,1.42,4.41,2.01,1.43,0.24,6.46,1.12,2.7,2.24,3.5,5.5,1.8,3.05,1.21,1.97,3.33,2.74,2.5,3.92,1.04,2.79,2.89,1.96,4.68,5.79,1.42,1.12,3.2,2.82,0.47,1.1,2.37,1.75,0.09,3.58,3.68,1.4,2.4,1.68,3.75,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,2.55,1.83,1.82,0.77,0.27,1.83,3.35,0.11,0.97,2.3,2.36,1.41,3.45,2.22,1.78,5.35,3.06,1.72,0.87,2.11,2.03,4.93,3.11,0.52,5.94,1.11,0.28,3.01,2.27,3.74,2.75,2.38,3.99,2.48,1.75,1.28,1.64,1.79,0.66,2.29,1.89,1.92,2.37,3.64,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,7.59,2.2,1.7,5.48,6.74,1.53,7.41,3.54,3.91,4.12,3.6,2.1,3.9,6.3,4.75,1.25,0.81,3.05,1.47,1.33,5.47,4.96,4.4,2.64,2.15,6.71,3.81,2.13,0.58,5.8,1.58,1.71,5.57,1.4,3.81,2.61,5.72,4.25,1.17,3.13,4.3,4.32,3.54,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
