"MORPETH, HIGH STANNERS",,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ195861,Long,-1.695425,Lat,55.168831,Elevation,90,ft,,,,,,,,,,,,,
Station no,3585,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,2.62,2.9,2.42,1.12,1.91,1.8,2.04,3.71,2.95,2.25,3.68,
February,,,,,,,,,,0.82,1.31,1.36,0.56,3.26,0.37,1.99,3.23,3.35,0.9,,
March,,,,,,,,,,0.36,2.25,1.11,2.58,1.26,3.85,1.08,2.15,4.37,0.4,,
April,,,,,,,,,,1.73,1.97,3.28,1.73,1.69,5.87,4.29,1.4,2.17,0.12,,
May,,,,,,,,,,1.46,1.82,2.54,3.27,1.43,1.29,1.17,1.6,3.2,3.6,,
June,,,,,,,,,,1.7,0.88,3.49,0.87,1.17,1.94,2.35,2.63,1.64,2.92,,
July,,,,,,,,,,2.65,3.48,2.99,2.86,1.7,3.93,0.46,2.81,2.2,2.39,,
August,,,,,,,,,,2.33,5.16,3.12,1.73,1.99,3.36,1.9,2.38,2.85,1.57,,
September,,,,,,,,,,0.88,2.88,1.7,3.06,1.62,1.97,3.64,3.16,1.8,1.85,,
October,,,,,,,,,,2.48,2.23,1.24,3.8,4.53,4.05,3.97,1.32,2.29,3.7,,
November,,,,,,,,,,3.74,3.81,3.71,0.74,3.57,3.01,4.11,3.08,1.75,1.78,,
December,,,,,,,,,,3.89,2.75,1.18,1.21,1.21,4.56,2.26,1.65,5.63,4.45,,
Total,,,,,,,,,,24.66,31.44,28.14,23.53,25.34,36,29.26,29.12,34.2,25.93,,
