ROSSINGTON-MAIN-COLLIERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK602984,Long,-1.0943856,Lat,53.478891,Elevation,32,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3111/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,0.93,1.71,1.4,1.34,2.88,3.43,1.5,4.3,2.34,3.94,2.64,3.33,2.16,2.22,1.66,2.06,4.38,0.72,1.06,1.57,1.82,0.32,1.52,1.71,3.28,1.29,2.03,2.28,5.04
February,,0.27,3.52,0.94,2.56,2.44,2.53,1.28,0.86,1.94,2.51,1.12,0.81,1.93,1.46,2.46,2.47,1.48,0.63,4.11,2.53,0.35,1.62,2.13,2.27,1.13,1.97,4.23,0.07,1.95
March,,1.28,2.83,2.12,0.87,1.22,2.07,0.22,1.92,1.74,3.83,2.23,0.59,0.37,0.43,0.96,4.16,0.56,1.29,0.75,2.32,1.47,0.65,1.72,2.47,0.64,1.3,1.95,0.79,1.52
April,,1.43,0.92,2.44,1.63,1.41,3.11,0.12,1.41,1.89,1.19,1.04,0.97,2.21,1.17,1.5,1.63,1.42,1.89,2.3,0.65,0.74,2.04,0.22,0.72,2.33,0.16,0.31,2.87,0.74
May,,7.17,2.32,0.94,0.38,1.2,3.4,2.79,1.39,0.56,1.61,2.59,2.06,2.21,2.22,1.5,1.43,1.72,1.32,2.05,3.74,1.31,1.45,3.13,2.53,0.23,1,2.32,0.54,0.95
June,,0.65,2.14,1.41,2.57,3.16,2.24,1.61,1.82,1.45,0.22,1.34,1.02,2.06,2.17,2.08,2.89,2.32,0.31,1.37,1.06,1.74,1.17,1.56,2.93,4.17,1.71,4.67,1,0.71
July,,3.04,1.53,1.21,0.49,3.82,2.47,2.67,3.63,4.53,2.86,1.44,0.89,2.22,1.67,3.19,1.16,1.18,3.79,1.56,1.54,1.23,2.4,2.19,0.64,2.95,5.18,5.54,1.3,2.92
August,,1.53,0.43,1.03,1.67,1.46,0.11,2.69,2.02,0.54,2.62,2.71,2.36,3.52,1.81,5.1,0.42,3.6,1.5,2.52,4.81,1.16,2.05,4.69,0.26,7,3.9,2.16,0.44,2.98
September,,1.25,1.61,1.34,4.36,1.92,1.39,1.76,1.29,0.59,0.41,1.43,2.26,3.6,0.86,2.94,1.23,1.34,0.72,2.53,1.34,2.32,1.09,1.57,0.77,1.77,3.61,1.62,0,2.99
October,,2.77,5.55,1.19,2.74,2.07,3.08,2.56,2.6,3.95,2.42,2.04,1.44,2.12,3.15,0.8,0.66,1.4,3.39,0.71,1.03,2.75,2.16,2.91,1.5,1.24,1.15,1.78,1.71,5.6
November,,1.09,1.49,2.27,3.77,2.56,1.51,2.14,3.17,4.97,3.33,1.4,1.5,3.68,0.21,5.01,1.19,1.13,2.77,3.86,5.02,1.39,1.13,4.35,1.62,0.89,2.59,0.6,3.21,3.27
December,0.74,0.76,0.34,3.79,2.74,1.23,3.79,3.22,2.2,2.07,0.4,1.33,0.83,1.45,1.31,2.4,2.33,2.43,1.71,1.28,1.44,1.48,1.02,2.08,2.1,2.33,1.8,3.02,2.89,1.79
Total,,22.17,24.39,20.08,25.12,25.37,29.13,22.56,26.61,26.57,25.34,21.31,18.06,27.53,18.68,29.6,21.63,22.96,20.04,24.1,27.05,17.76,17.1,28.07,19.52,27.96,25.66,30.23,17.1,30.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is the colliery. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 3702, continues to 1971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
