PORT BANNATYNE ETTRICKDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS067681,Long,-5.090807,Lat,55.867194,Elevation,190,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,4.21,5.32,6.05,5.84,3.69,5.35,6.14,4.7,5.4,6.26,3.43,5.39,5.48,6.03,6.8,5.34,4.84,4.96,4.2,5.84,,,,
February,,,,,,,,4.06,4.99,2.91,7.5,8.16,4.25,3.14,6.74,5.97,5.83,1.33,6.39,1.56,5.72,1.71,5.59,5.75,1.07,3.34,7.96,,,,
March,,,,,,,,5.75,5.92,1.82,2.4,2.07,6.38,5.8,6.14,3.24,1.35,2.5,2.24,3.83,4.48,5.14,2.31,2.52,0.73,3.32,2.87,,,,
April,,,,,,,,2.96,1.98,5.2,4.23,4.13,2.6,3.93,3.22,3.79,4.72,2.3,1.13,2.72,2.89,1.72,3.86,4.32,3.79,4.71,2.18,,,,
May,,,,,,,,4.75,2.76,3.51,3.28,3.3,3.2,4.06,1.99,1.16,5.03,5.46,3.88,1.75,5.99,3.74,4.37,2.2,5.29,7.34,3.53,,,,
June,,,,,,,,4.94,3.73,3.63,2.11,2.67,6.19,3.37,2.03,2.51,1.98,2.98,1.9,4.03,3.35,1.29,3.83,2.17,3.13,0.97,2.67,,,,
July,,,,,,,,3.69,4.87,6.24,4.69,4.57,3.15,1.51,2.82,5.46,3.01,1.76,4.48,1.85,3.8,5.3,4.4,3.87,5.69,2.6,,,,,
August,,,,,,,,6.96,4.53,3.47,8.62,3.92,3.99,2.53,5.93,3.18,6.57,5.93,4.1,3.4,5.23,7.3,4.19,7.59,5.29,5.5,,,,,
September,,,,,,,,2.38,7.9,2.83,2.49,3.59,4.24,2.56,3.69,1.83,2.45,3.85,6.37,3.94,4.42,3.39,3.55,7.65,4.44,4.97,,,,,
October,,,,,,,,7.04,2.23,7.08,2.91,4.48,5.32,2.64,2.8,3.44,7.57,10.56,7.1,2.06,4.31,5.05,2.76,6.36,4.2,4.61,,,,,
November,,,,,,,,4.65,4.87,3.28,4.61,6.67,5.84,6.75,6.14,2.74,5.28,8.7,6.71,4.11,5.73,3.68,5.23,4.7,2.97,1.72,,,,,
December,,,,,,,,6.64,6.18,4.92,5.71,9.48,7.9,5.63,7.11,6.18,5.74,3.03,6.07,10.59,4.6,6.41,3.97,5.49,5.49,3.15,,,,,
Total,,,,,,,,58.03,55.28,50.94,54.39,56.73,58.41,48.06,53.31,44.9,55.79,51.83,55.76,45.32,56.55,51.53,49.4,57.46,47.05,46.43,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 New Gauge and 40 yd move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
